,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,2003-10-16,104-08,37.0567,130.3117,21.3349,19.3106,19.3106,19.3106,16.5785,12.8152,12.8152,10.1309,6.5231,2.4799,2.118384676777761,0.9826,0.612,0.5499
1,1978-10-16,104-08,37.0567,130.3117,22.5966,21.0209,21.0209,21.0209,19.287,15.7403,14.825,13.0745,12.7689,8.0258,6.6,1.8512,0.8995,0.6844
2,2000-10-11,104-08,37.0567,130.3117,20.0956,20.0956,20.0956,20.0956,17.5226,17.117,12.6163,12.6163,9.5077,9.5077,2.7050519719596373,2.0861,0.7404,0.4969
3,1992-10-17,104-08,37.0567,130.3117,19.6773,19.2443,18.9261,17.3725,8.32,8.32,7.5583,2.08,1.55,1.55,0.8169969369887137,0.9156,0.4,0.4122
4,1980-10-16,104-08,37.0567,130.3117,19.1158,19.1158,19.1158,16.8228,16.3189,15.5805,13.3517,8.5802,8.5802,5.132,1.4331736699827178,1.0939,0.5927,0.3878
5,1968-10-22,104-08,37.0567,130.3117,19.1732,19.1732,19.1732,18.9365,16.2329,13.7859,12.3899,8.4359,8.4359,2.5913,2.5913,1.9743,1.1254,0.484
6,1978-10-16,104-08,37.0567,130.3117,20.4363,20.4363,19.001,18.6108,18.6108,16.6546,14.8919,14.2717,10.5272,9.0343,4.4532827264119055,2.3986,0.9224,0.6069
7,2009-10-14,104-08,37.0567,130.3117,20.0965,20.0965,20.0965,20.0965,17.2643,17.2643,13.8,13.8,8.418,3.7595,0.8632865693983053,0.7697,1.0708,0.5398
8,1980-10-16,104-08,37.0567,130.3117,21.1396,19.8437,19.251,18.6007,17.4239,15.5517,13.1647,10.3216,3.8181,3.8181,2.0152893670355003,1.1144,0.8036,0.3508
9,1974-10-15,104-08,37.0567,130.3117,19.6802,19.6802,19.6802,19.174,16.3317,14.8867,13.4824,12.0574,10.7731,3.8808,3.8808,1.5883,1.0882,0.6345
10,1980-10-16,104-08,37.0567,130.3117,20.5562,20.5562,19.7483,19.7483,17.7329,16.5878,11.1009,11.1009,11.1009,3.851,2.0292872068913326,1.3649,0.5855,0.5998
11,1968-10-22,104-08,37.0567,130.3117,20.3819,20.0947,18.7224,18.7224,18.6193,14.3576,13.2066,8.9076,8.3721,3.2583,2.2414852800039604,2.2864,0.6891,0.4365
12,1968-10-22,104-08,37.0567,130.3117,20.259,20.1369,20.0526,20.0526,16.7409,15.0211,13.2591,10.6337,9.2875,4.4483,4.4483,1.7752,0.82,0.6508
13,2009-10-14,104-08,37.0567,130.3117,20.3021,20.3021,20.3021,20.101,17.3581,17.3581,17.1,10.2707,10.2707,5.3382,1.5721687599548897,1.3487,0.7188,0.6485
14,2011-10-09,104-08,37.0567,130.3117,19.4095,19.4095,19.4095,19.4095,16.9129,14.3042,11.7088,4.7465,4.7465,3.5501,3.5501,1.2938,1.244,0.5906
15,1989-10-19,104-08,37.0567,130.3117,20.8195,20.8195,20.5187,20.5187,16.5671,15.7144,11.102,11.102,9.328,4.3315,1.2605874006718873,1.1683,0.8682,0.5206
16,2003-10-16,104-08,37.0567,130.3117,20.5125,19.0839,19.0839,18.0691,17.9954,15.9047,11.2705,11.2705,9.2349,2.3916,1.9782004188126823,1.3612,0.6452,0.3847
17,2008-10-13,104-08,37.0567,130.3117,20.3692,20.3692,20.3692,19.0395,18.4044,15.3728,12.0745,12.0745,11.6175,9.1486,1.5361318506964712,1.1887,0.7511,0.5827
18,1989-10-19,104-08,37.0567,130.3117,19.2784,19.2784,19.2784,19.2784,16.6577,14.4345,13.9267,12.3592,8.2928,3.3572,1.498527676664988,1.2216,0.8515,0.4755
19,2010-10-17,104-08,37.0567,130.3117,21.137,20.8122,20.8122,20.8122,17.4447,15.9667,14.2299,13.9947,7.4581,5.8073,1.2167003286863314,1.5142,0.9233,0.4285
20,2003-10-16,104-08,37.0567,130.3117,21.0983,21.0983,19.4115,18.709,17.8151,14.189,13.0654,12.3551,7.4607,1.3281,1.2674191050270758,1.3624,0.6639,0.4976
21,1975-10-10,104-08,37.0567,130.3117,21.8571,21.2763,20.1521,20.1521,18.2509,15.4189,15.4189,12.6881,12.502,5.0256,1.8320628638718737,1.5359,0.9584,0.5904
22,2009-10-14,104-08,37.0567,130.3117,19.2658,18.2712,18.2712,18.2712,17.3463,14.4627,14.0051,5.1025,5.1025,1.4237,1.4237,1.4725,0.8501,0.4058
23,1968-10-22,104-08,37.0567,130.3117,19.4903,19.4903,19.4903,18.4643,17.4283,14.9719,13.2941,11.5505,10.75,4.8328,4.289289497712685,1.7255,0.8531,0.4022
24,1981-10-12,104-08,37.0567,130.3117,19.2713,19.2713,19.2713,19.2041,10.3766,10.3766,10.3766,3.4944,3.4944,2.1267,1.376964627852041,1.1196,0.8062,0.492
25,1995-10-24,104-08,37.0567,130.3117,18.7311,18.7311,18.7311,18.7311,18.7311,13.6621,5.2242,5.2242,1.55,1.55,1.3058584693147177,0.9998,0.5887,0.35
26,1990-10-15,104-08,37.0567,130.3117,19.6241,19.6241,19.6241,19.6241,15.8602,15.8602,14.4127,10.9492,8.6502,3.6472,1.2319499350212868,1.2023,0.4472,0.5142
27,2000-10-11,104-08,37.0567,130.3117,19.1418,18.2242,18.2242,18.2242,18.0527,13.8054,13.8054,13.8054,7.5452,2.3292,2.3292,1.4109,1.2249,0.4273
28,2002-10-30,104-08,37.0567,130.3117,18.6233,18.6233,18.6233,14.8136,14.8136,14.8136,11.5879,2.08,2.08,2.08,1.2681406709938206,2.0062,0.7871,0.4952
29,1996-10-11,104-08,37.0567,130.3117,21.0882,21.0882,19.3518,19.3518,18.3053,9.2566,5.9741,4.736,1.9751,1.9751,0.81,0.6849,0.4,0.4112
30,1990-10-15,104-08,37.0567,130.3117,22.2852,22.2852,20.6423,20.0717,19.414,16.1823,15.1941,11.8582,10.1736,2.1263,1.4207701280259808,1.2721,0.6918,0.5054
31,1968-10-22,104-08,37.0567,130.3117,19.9958,19.9958,19.9958,19.37,18.2917,14.3098,12.2401,10.4642,9.2825,5.2131,5.2131,1.9786,0.9834,0.6568
32,1974-10-15,104-08,37.0567,130.3117,18.6496,18.6496,18.1747,18.1747,18.0391,14.6576,13.2904,10.8971,9.7963,5.852,1.42822105623301,1.4371,0.6838,0.4674
33,1991-10-29,104-08,37.0567,130.3117,19.9588,19.9588,19.9588,18.4984,15.1312,15.1312,11.5383,9.5321,8.2951,6.7412,2.03896698060624,1.01,0.7041,0.6002
34,2010-10-17,104-08,37.0567,130.3117,22.3527,21.9085,21.4625,18.1834,16.8265,16.1641,14.8448,13.9457,7.0137,6.9589,1.605686871390906,1.4732,0.7144,0.4744
35,2009-10-14,104-08,37.0567,130.3117,19.8607,19.8607,19.8607,17.5168,15.8476,12.4917,12.3641,7.5777,7.5777,1.9619,1.3262295421734158,0.9218,0.8403,0.5028
36,1968-10-22,104-08,37.0567,130.3117,18.3677,18.3677,18.3677,18.3677,18.3677,14.9939,13.0765,10.6956,10.6956,4.8793,4.37207125361912,0.8681,0.9539,0.5721
37,1997-10-15,104-08,37.0567,130.3117,20.111,20.111,18.1132,18.1132,13.8347,4.43,4.43,2.2472,2.2472,2.2472,1.1632595308265608,0.8164,0.952,0.394
38,1969-10-13,104-08,37.0567,130.3117,21.1721,20.8475,20.6381,19.0268,19.0268,16.2817,12.6775,11.8019,11.8019,4.8435,4.8435,1.693,0.73,0.5793
39,2000-10-11,104-08,37.0567,130.3117,19.761,19.5719,18.5839,18.5545,17.6296,14.9544,12.6215,9.2735,9.2735,3.9879,1.7998693448675,1.4935,0.8632,0.6289
40,1980-10-16,104-08,37.0567,130.3117,22.0877,21.9494,20.1287,18.4534,17.1893,14.6595,11.7918,9.7308,9.7308,3.8425,1.1614187075698346,1.0685,0.8512,0.5053
41,2003-10-16,104-08,37.0567,130.3117,19.6509,19.6509,18.9685,18.1323,16.982,15.3278,13.4893,13.4893,11.0615,5.6752,1.5123053150774524,1.4197,0.6117,0.4317
42,2004-10-23,104-08,37.0567,130.3117,18.7946,18.7946,18.4591,17.8969,17.8969,16.3689,12.9069,9.4041,7.387,1.5725,1.3208479874735588,1.0006,0.63,0.4277
43,1968-10-22,104-08,37.0567,130.3117,18.1494,18.1494,18.1494,18.1494,18.1494,14.8615,11.4921,8.714,8.714,5.7201,2.272088546364473,1.8297,0.6521,0.35
44,2007-10-15,104-08,37.0567,130.3117,20.1881,19.1889,19.1889,19.1077,15.6277,14.6499,6.4468,6.4468,5.4903,1.8847,1.3851889664013608,0.947,1.1075,0.501
45,1981-10-12,104-08,37.0567,130.3117,19.0791,19.0791,19.0791,18.7612,16.4481,15.0269,12.4644,7.1955,6.1334,3.2365,1.9818932602429258,1.1781,0.9315,0.541
46,1968-10-22,104-08,37.0567,130.3117,19.7208,19.6001,19.6001,19.1112,17.7367,16.4984,13.5057,10.9069,9.7706,5.9573,3.7119580879976244,1.9701,0.9828,0.7074
47,1972-10-27,104-08,37.0567,130.3117,18.4996,18.4996,17.7352,17.1563,16.2121,14.5921,13.8532,2.08,2.08,1.8081,1.129270944067729,0.9099,0.4202,0.5934
48,2010-10-17,104-08,37.0567,130.3117,22.9682,21.7428,21.5701,19.6317,17.4805,15.9803,14.4561,7.5163,7.5163,7.5163,1.5447090572743067,1.415,0.7165,0.4051
49,1979-10-16,104-08,37.0567,130.3117,21.7338,21.555,20.8259,20.8259,19.0484,16.6983,16.048,11.6999,10.754,5.8792,5.484380923068654,2.315,0.9537,0.7185
50,1976-10-18,104-08,37.0567,130.3117,20.2808,19.4915,19.4915,19.2889,18.6644,16.5614,12.4139,12.4139,8.8985,6.4648,5.289667616082682,1.9177,1.1549,0.5859
51,2000-10-11,104-08,37.0567,130.3117,21.8552,20.2928,19.7453,18.4192,18.0063,15.3217,15.2894,12.8155,10.816,4.4375,1.1554177441629636,0.7652,0.9906,0.3867
52,1996-10-11,104-08,37.0567,130.3117,19.233,19.233,19.233,19.233,17.1928,6.1638,4.1887,4.1887,4.1887,2.1969,1.3666906646267325,0.8544,0.5715,0.5231
53,2004-10-23,104-08,37.0567,130.3117,21.3559,20.7552,20.0521,18.2496,15.626,13.6629,12.4812,4.5126,4.5126,1.7663,1.4294644966949965,0.9197,0.8733,0.4819
54,1968-10-22,104-08,37.0567,130.3117,20.8973,20.8973,20.0056,19.0979,18.6329,15.7083,11.918,11.5255,11.5255,3.2267,3.2267,1.378,0.9191,0.5854
55,1968-10-22,104-08,37.0567,130.3117,20.0163,19.4001,19.2904,19.2904,16.7876,12.6011,12.6011,8.0621,8.0621,3.2259,2.912856412560344,1.6941,0.7445,0.4527
56,2002-10-30,104-08,37.0567,130.3117,19.6946,19.6946,18.4831,18.4773,16.2809,16.1928,13.3796,6.0117,6.0117,3.6032,2.334071776016775,1.4639,0.5697,0.5578
57,1968-10-22,104-08,37.0567,130.3117,19.7749,19.7749,18.5318,18.5318,16.7927,15.5753,11.0345,11.0345,7.9378,3.8274,1.7683652243688548,1.6449,0.731,0.4611
58,1989-10-19,104-08,37.0567,130.3117,20.9322,20.1684,20.1684,20.1684,17.8363,14.4853,14.4853,14.4454,7.9527,7.9527,1.7212780026908,1.2354,0.5548,0.6402
59,2002-10-30,104-08,37.0567,130.3117,19.2273,19.1649,19.1187,17.6189,16.454,15.1373,13.2689,4.2713,4.2713,2.7656,1.888928840841319,1.207,0.6168,0.4025
60,1990-10-15,104-08,37.0567,130.3117,20.8673,20.8673,20.8673,18.5541,18.5541,14.9716,13.944,10.7779,4.3105,1.8448,1.4704060763742854,1.142,0.4,0.4256
61,2011-10-09,104-08,37.0567,130.3117,20.1839,20.1839,19.9688,18.1554,16.006,15.5647,12.2529,10.8772,10.4679,7.8413,3.0540017034597726,1.9015,0.8441,0.7319
62,1968-10-22,104-08,37.0567,130.3117,19.165,19.165,19.165,18.8684,18.2153,14.523,13.6451,12.37,7.2626,4.1187,4.1187,2.5254,0.8944,0.5521
63,2009-10-14,104-08,37.0567,130.3117,20.2126,20.2126,20.2126,20.2126,17.6916,15.0538,8.8511,4.9283,4.9283,2.4952,2.3636694471849165,1.0696,0.9243,0.6584
64,1993-10-27,104-08,37.0567,130.3117,18.9587,18.6719,18.6719,16.8454,16.4009,16.4009,14.023,11.1335,9.5297,3.147,1.0522638808021014,1.1264,0.6263,0.6311
65,1990-10-15,104-08,37.0567,130.3117,20.4692,20.4692,20.4692,20.4589,17.6344,14.6664,12.4304,12.4304,3.3309,3.3309,1.475618410438127,1.0959,0.471,0.5377
66,1989-10-19,104-08,37.0567,130.3117,20.6938,20.6938,20.4249,19.8291,19.3955,17.1337,14.9456,10.8716,9.3905,3.5481,1.8507689214538785,1.6645,0.9734,0.3997
67,1972-10-27,104-08,37.0567,130.3117,19.3353,19.3353,18.5856,17.2475,14.6753,14.4788,3.9175,2.9732,1.763,1.4091,1.1323526187608923,0.9248,0.5043,0.4023
68,2000-10-11,104-08,37.0567,130.3117,18.5425,18.5425,18.5425,16.8553,16.102,16.102,11.0759,11.0759,11.0759,4.1031,3.915904717769372,2.0154,0.8372,0.6047
69,1979-10-16,104-08,37.0567,130.3117,21.3035,21.0478,19.8143,19.8143,19.8143,17.3932,14.8155,11.8782,11.8191,4.4971,4.4971,1.4141,0.8759,0.5401
70,1980-10-16,104-08,37.0567,130.3117,18.6675,18.6675,18.6675,18.6675,17.2554,15.8667,15.8667,10.916,2.8379,2.8379,1.6187955923387942,1.1491,0.6275,0.482
71,1989-10-19,104-08,37.0567,130.3117,19.8807,19.0279,19.0279,19.0279,15.5036,14.1982,11.6631,10.1321,10.1321,2.6274,1.5385114002393767,2.1824,0.7718,0.618
72,1992-10-17,104-08,37.0567,130.3117,19.7767,19.7767,19.7767,15.7631,15.7631,4.43,4.43,4.43,1.55,1.55,1.3104300473680137,1.0631,0.7716,0.35
73,1968-10-22,104-08,37.0567,130.3117,20.3617,18.5873,17.8523,17.8523,17.8523,16.4533,15.4146,13.06,8.8544,3.5827,1.2327630027702432,1.7895,0.6738,0.4214
74,1981-10-12,104-08,37.0567,130.3117,18.6948,17.8457,17.8457,17.8457,17.0102,13.1467,12.7717,2.08,2.08,2.08,0.9434514807325383,1.1564,0.4946,0.3791
75,2009-10-14,104-08,37.0567,130.3117,20.6934,20.6934,20.4544,18.7747,16.3893,13.9828,11.4554,11.4554,7.4546,4.076,1.8987948768325793,1.4864,0.7902,0.6139
76,1980-10-16,104-08,37.0567,130.3117,20.9803,19.9773,19.2013,17.9218,17.9218,16.6452,13.0742,10.5454,4.714,3.7892,2.1626614679421943,0.9563,0.6427,0.5794
77,1993-10-27,104-08,37.0567,130.3117,18.7588,18.7588,18.7588,18.1561,16.9889,15.3142,11.9257,7.0415,7.0415,4.5873,3.6876643452097775,2.2607,0.8703,0.35
78,2003-10-16,104-08,37.0567,130.3117,20.4911,20.4911,20.4911,19.0975,15.3673,14.9017,14.9017,12.8351,8.2737,2.2029,1.6030820350633388,1.0546,0.8673,0.4526
79,1993-10-27,104-08,37.0567,130.3117,18.5003,18.5003,18.5003,18.1909,16.0694,15.4774,14.6619,12.7303,10.5581,3.7443,3.7443,2.0294,1.1481,0.5079
80,2004-10-23,104-08,37.0567,130.3117,21.0415,20.9037,20.045,20.045,18.0608,16.9006,3.1872,3.1872,3.1872,2.4139,1.3564882362001334,1.12,0.6106,0.4487
81,1993-10-27,104-08,37.0567,130.3117,20.2904,20.2904,18.6401,18.6401,17.9702,14.4192,10.959,10.959,9.0783,3.5716,1.3914923525241314,2.5754,0.8042,0.4492
82,2010-10-17,104-08,37.0567,130.3117,21.5047,21.4065,19.8849,18.622,16.4024,14.8709,14.6462,10.052,10.052,8.0649,1.603561558776489,1.1514,0.8969,0.6324
83,1989-10-19,104-08,37.0567,130.3117,21.8745,21.3712,19.7977,19.7977,19.3229,16.4828,12.4135,8.0201,8.0201,4.0452,1.534534536412701,2.2436,0.8597,0.35
84,1993-10-27,104-08,37.0567,130.3117,19.5848,19.5848,19.5848,19.4965,17.7317,14.1445,11.9153,11.9153,11.9153,3.6169,3.6169,1.821,1.1123,0.5249
85,1980-10-16,104-08,37.0567,130.3117,20.9142,18.855,18.855,18.855,17.9731,15.8382,9.4692,9.4692,7.4469,5.4791,1.3554915319102896,2.6366,0.8952,0.5016
86,1991-10-29,104-08,37.0567,130.3117,19.9307,19.9307,19.8737,18.338,18.338,13.1189,13.1189,9.0426,7.538,7.538,5.077840990006165,1.9471,0.923,0.7314
87,1980-10-16,104-08,37.0567,130.3117,21.1688,20.8115,20.8115,20.8115,16.8942,16.4782,11.879,11.879,9.5235,2.4952,2.2977897275598105,0.9401,0.8811,0.5925
88,1979-10-16,104-08,37.0567,130.3117,20.2763,20.2545,20.2545,20.2545,20.2545,15.6846,14.3099,12.7314,12.7314,7.1902,2.0917712197231753,2.1602,0.6648,0.4825
89,2001-10-22,104-08,37.0567,130.3117,20.4567,20.4567,20.4567,20.4567,17.653,16.9003,15.5721,11.6226,11.6226,4.3674,1.7864527328240396,1.7168,0.8275,0.413
90,2000-10-11,104-08,37.0567,130.3117,20.8257,20.3519,19.667,19.667,16.7829,13.0096,13.0096,4.6709,4.6709,2.6199,2.1835039325243346,1.2734,0.5275,0.4774
91,1972-10-27,104-08,37.0567,130.3117,20.3234,20.3234,18.4411,16.1882,8.3232,8.3232,4.1035,4.1035,4.1035,2.7298,0.8272068714600022,0.742,0.886,0.4719
92,2008-10-13,104-08,37.0567,130.3117,20.7679,20.7679,20.7679,18.8071,17.6626,14.5691,12.5575,10.8076,9.247,5.84,1.2234284258230534,1.079,0.8796,0.4652
93,1996-10-11,104-08,37.0567,130.3117,19.8794,19.8794,19.8794,19.14,17.1841,15.1281,3.9983,2.08,1.55,1.55,1.55,0.6965,0.5897,0.5194
94,1990-10-15,104-08,37.0567,130.3117,21.0082,20.5661,20.5661,18.2367,18.0107,16.9159,12.6267,7.1464,7.1464,2.4707,1.6357857264628073,1.2773,0.7029,0.6343
95,1968-10-22,104-08,37.0567,130.3117,20.0401,20.0401,18.2255,18.2255,18.1149,17.0207,12.8779,11.3603,11.2455,4.2772,2.925831356123603,2.1539,0.43,0.4986
96,1996-10-11,104-08,37.0567,130.3117,19.6883,19.6883,19.3603,19.3603,15.3701,15.3701,12.948,2.08,2.08,1.5885,1.5885,1.1444,0.7809,0.4409
97,2007-10-15,104-08,37.0567,130.3117,20.5243,19.8502,19.8502,17.1553,17.1553,14.7752,8.6314,8.6314,4.1991,1.4306,1.4306,1.3638,0.6841,0.5271
98,1968-10-22,104-08,37.0567,130.3117,20.1392,19.9757,19.9757,19.9757,17.6028,15.5942,15.5942,8.5469,8.5469,6.1514,3.6811205462357512,1.7205,1.0213,0.6653
99,1968-10-22,104-08,37.0567,130.3117,19.2207,19.2207,19.2207,16.7848,16.7848,14.4205,14.1112,13.1545,9.1646,3.8447,2.1288757499520785,2.6478,0.8638,0.35
100,1981-10-12,104-08,37.0567,130.3117,20.7637,18.6055,18.6055,18.2229,16.9673,12.8643,12.5771,5.0288,5.0288,2.023,1.925356750966164,0.7709,0.8298,0.4725
101,2008-10-13,104-08,37.0567,130.3117,22.544,20.4834,20.4834,18.8987,17.3273,13.1667,13.1667,10.6307,9.7422,8.615,2.372511571580639,2.1954,1.0277,0.6305
102,2009-10-14,104-08,37.0567,130.3117,22.0551,21.6669,21.5539,19.8945,16.925,15.4687,12.6153,2.327,2.327,2.327,1.776589150631522,0.7078,0.5344,0.5621
103,2009-10-14,104-08,37.0567,130.3117,20.3352,19.4453,19.4453,18.9519,18.0854,16.2073,11.6406,11.6406,7.6289,2.5228,1.2039961053442905,1.3098,0.5091,0.4417
104,1990-10-15,104-08,37.0567,130.3117,22.9682,21.049,20.0551,19.9886,18.904,15.202,13.1824,8.7694,8.7694,2.7393,1.435321985043747,1.379,0.6344,0.4162
105,1980-10-16,104-08,37.0567,130.3117,20.1411,20.1411,20.1411,20.1411,17.118,16.6076,13.6176,12.6934,10.9626,3.2457,1.6226636599314639,1.1564,0.9293,0.5496
106,1981-10-12,104-08,37.0567,130.3117,18.3268,18.3268,18.3268,18.3268,11.1037,11.1037,11.1037,6.223,6.223,1.5053,1.1924460592488593,1.0762,0.5966,0.5354
107,1980-10-16,104-08,37.0567,130.3117,20.5784,19.1894,19.1894,17.462,17.462,15.7874,12.8987,9.3221,9.3221,2.9622,2.154593258054465,0.65,0.6548,0.512
108,1975-10-10,104-08,37.0567,130.3117,21.0874,21.0874,20.6893,19.8095,19.8095,16.4804,12.2687,12.2687,10.7839,9.6679,2.4242150720255933,1.5986,0.6056,0.4376
109,1968-10-22,104-08,37.0567,130.3117,20.0214,19.2421,19.2421,19.2421,18.1455,16.221,12.3136,10.4414,7.7057,4.3039,1.7135888943404365,2.0613,0.6484,0.35
110,2000-10-11,104-08,37.0567,130.3117,21.016,20.2821,20.1325,18.8195,18.8195,16.4026,13.3197,8.515,8.515,4.4969,2.036152677866556,1.1908,1.0002,0.3971
111,1990-10-15,104-08,37.0567,130.3117,21.7409,20.9036,19.912,18.2849,18.2849,15.2038,14.6555,11.9344,5.868,3.3944,1.9037999822099432,1.2219,0.5397,0.5129
112,1976-10-18,104-08,37.0567,130.3117,21.3635,20.0426,20.0426,18.2697,17.0959,14.0506,14.0506,14.0506,9.0116,8.2345,4.8777319865907,2.1883,0.6853,0.6602
113,2000-10-11,104-08,37.0567,130.3117,19.8748,19.8748,19.8315,18.4551,17.8428,14.4574,12.7909,12.7909,7.8657,4.1174,1.4490691303454857,1.5612,0.7402,0.5858
114,1990-10-15,104-08,37.0567,130.3117,20.6002,20.6002,20.6002,18.5743,18.5743,17.0426,15.1807,12.4968,12.1929,4.2774,1.7396581676909881,1.4021,0.5644,0.5727
115,1978-10-16,104-08,37.0567,130.3117,20.7918,20.3353,19.7366,17.9658,17.9658,17.76,16.8573,15.0394,8.7463,8.7463,3.998846731768452,2.0615,0.7291,0.6745
116,1989-10-19,104-08,37.0567,130.3117,19.2109,19.2109,19.2109,19.2109,16.6504,16.6504,11.4367,10.0122,8.4465,3.9783,2.251275353735532,0.9132,0.7523,0.35
117,1969-10-13,104-08,37.0567,130.3117,21.6255,20.7744,17.65,17.3406,17.3406,15.5058,11.2384,11.2384,11.2384,5.7661,4.970968744884994,1.902,1.086,0.5819
118,1968-10-22,104-08,37.0567,130.3117,19.7749,19.7749,19.7749,19.7749,18.8913,14.3051,11.0113,10.2693,9.5095,3.6215,3.6215,1.802,0.9529,0.4183
119,1972-10-27,104-08,37.0567,130.3117,20.0941,19.214,18.3461,18.3461,18.3461,15.6826,13.4021,9.2611,8.5799,4.0079,1.7000640580953323,0.6815,0.6572,0.3677
120,2007-10-15,104-08,37.0567,130.3117,21.204,21.204,19.7372,19.7372,17.7756,15.873,11.5587,11.0748,9.1643,2.7552,1.6696996718518373,1.0432,0.8928,0.6118
121,1978-10-16,104-08,37.0567,130.3117,22.0289,21.0126,21.0126,18.6888,18.6888,15.4377,13.897,13.4631,12.3913,2.73,2.73,1.6941,0.7468,0.6197
122,2011-10-09,104-08,37.0567,130.3117,19.1727,19.1727,19.1727,16.0086,15.7893,14.4221,11.9427,10.8141,9.0184,8.0355,5.257036225072247,2.5736,1.1208,0.5904
123,1980-10-16,104-08,37.0567,130.3117,20.8685,19.5896,19.1777,18.4194,16.7936,16.7936,13.2992,3.3638,3.3638,3.3638,1.583882271850874,1.0142,0.6325,0.3861
124,1992-10-17,104-08,37.0567,130.3117,20.6076,19.7615,19.7615,17.8716,17.8716,16.6548,5.0008,3.6636,2.9138,2.9138,0.81,1.0451,0.5712,0.5402
125,1992-10-17,104-08,37.0567,130.3117,21.0328,21.0328,18.9113,15.8461,15.8461,4.4909,4.4909,3.1807,3.1807,1.11,0.9353907523439661,1.1038,0.6536,0.4167
126,2003-10-16,104-08,37.0567,130.3117,19.8352,19.8352,18.9797,17.1597,14.474,14.474,11.5809,8.1029,8.1029,4.5142,1.3905726091355344,0.7335,0.7927,0.4309
127,1993-10-27,104-08,37.0567,130.3117,20.645,18.7544,18.6007,18.3374,16.7632,14.1736,12.9809,12.0466,9.745,3.8936,3.8936,2.5244,0.8414,0.5555
128,1972-10-27,104-08,37.0567,130.3117,18.7076,18.4079,18.0126,18.0126,17.8497,14.8995,13.1295,11.0085,5.586,2.452,0.845349489756135,1.0477,0.5725,0.35
129,1980-10-16,104-08,37.0567,130.3117,19.723,19.723,19.4048,19.4048,17.9932,15.9546,13.2265,9.4626,9.4626,3.3383,1.7690187730968723,1.4013,0.6209,0.5273
130,1968-10-22,104-08,37.0567,130.3117,20.7088,18.7035,18.4232,18.4232,16.6764,15.9616,13.2306,13.2306,8.4637,5.2596,1.0516000614421732,2.3128,0.8081,0.549
131,2008-10-13,104-08,37.0567,130.3117,21.277,21.277,21.277,19.5926,18.8119,17.4694,13.6305,9.4234,9.4234,7.7348,1.3231242315841332,1.5901,0.9153,0.6723
132,1989-10-19,104-08,37.0567,130.3117,19.5241,19.5241,19.5241,19.3297,17.3459,15.2386,15.2386,11.1661,10.381,9.6124,2.1254097338865856,1.8668,0.8195,0.6096
133,1980-10-16,104-08,37.0567,130.3117,20.6441,20.063,19.7222,19.6327,18.0198,13.1016,11.9654,8.5299,8.5299,4.3558,1.2386071559028218,0.9853,0.8817,0.6057
134,1993-10-27,104-08,37.0567,130.3117,18.9977,18.7248,18.7248,17.4557,17.2931,15.0684,9.8309,8.2236,8.2236,3.4629,1.2717335106152012,1.6289,0.9533,0.4292
135,1968-10-22,104-08,37.0567,130.3117,19.4654,19.4654,19.4654,16.1677,16.1677,14.0573,13.135,11.9845,6.9108,6.3329,4.018211239576178,1.3825,0.8473,0.4924
136,1996-10-11,104-08,37.0567,130.3117,21.0873,21.0037,19.5251,19.5251,14.0888,4.43,2.8983,2.8983,2.8983,2.8983,0.81,0.793,0.5188,0.4233
137,2002-10-30,104-08,37.0567,130.3117,20.1874,20.1874,19.385,17.0838,15.8318,14.2089,10.6458,5.904,4.6225,2.4267,1.3591990303199306,1.214,0.7745,0.4024
138,1969-10-13,104-08,37.0567,130.3117,20.5797,18.8979,18.8979,18.8979,18.4353,15.3557,14.7622,9.1698,9.1698,8.5806,4.812955492690529,1.4349,1.1517,0.6714
