,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,1991-04-10,104-09,37.0567,130.6267,11.4469,11.4469,11.4469,10.8724,9.4609,7.0001,7.0001,7.0001,7.0001,6.4184,1.5194,1.3379,0.7901448282876606,0.5528
1,1994-04-20,104-09,37.0567,130.6267,12.7293,11.5302,11.5302,11.1448,11.1088,11.1088,10.3563,9.2136,9.2136,3.1188,1.6633,1.2421,0.4898794609911839,0.5775
2,1995-04-13,104-09,37.0567,130.6267,12.388,12.388,11.4237,10.2365,10.2365,10.2365,10.2365,10.2365,10.2365,6.2427,6.0484,3.122,0.9081140109872675,0.6591
3,1975-04-19,104-09,37.0567,130.6267,11.9583,11.9583,11.9583,11.9583,11.9583,11.9583,11.0532,8.5554,5.7281,3.8445,2.0284,0.858,0.9297599863552384,0.6983
4,1971-04-09,104-09,37.0567,130.6267,12.1026,12.1026,11.2993,11.0557,11.0557,8.063,8.063,8.063,8.063,8.063,5.3937,4.8961,0.8662771724853051,0.6846
5,2005-04-17,104-09,37.0567,130.6267,12.4969,12.4969,11.9107,11.6062,11.6062,10.823,8.4864,8.4864,8.4864,5.9664,1.9207,0.9015,0.7829680286059351,0.5868
6,1973-04-25,104-09,37.0567,130.6267,12.2107,12.2069,12.2069,11.6635,10.8367,10.8367,8.5173,7.7883,6.8646,1.9894,1.8405,1.4129,0.8883994539550961,0.4687
7,2005-04-17,104-09,37.0567,130.6267,11.2276,11.2276,11.2276,10.3453,10.3453,10.3453,9.4305,9.4305,9.4305,4.6831,2.9201,1.0511,0.9190714246588754,0.5712
8,2001-04-16,104-09,37.0567,130.6267,13.4756,13.4756,12.7796,12.7796,12.0074,12.0074,11.6824,10.7015,10.7015,5.386,2.738,1.3759,0.8023328495265505,0.555
9,1973-04-25,104-09,37.0567,130.6267,12.4607,11.9428,11.9428,11.7418,11.7418,11.7418,9.3073,9.3073,9.2337,5.5493,1.6153,1.4286,0.8597226603905925,0.6658
10,1976-04-15,104-09,37.0567,130.6267,13.6743,13.4861,12.3365,11.343,11.3353,11.3353,10.0643,9.8958,9.8958,3.3931,1.0877,0.62,0.9301757045925608,0.587
11,2001-04-16,104-09,37.0567,130.6267,11.3973,11.3973,11.3973,11.3973,11.3973,11.3973,9.5577,9.5577,9.5471,3.4713,1.9629,1.1297,0.706069527479904,0.5835
12,1996-04-07,104-09,37.0567,130.6267,11.4723,11.4574,11.0454,10.4717,9.6873,7.2619,7.2619,7.2619,7.2619,6.1534,1.6048,0.62,0.8512796632821367,0.5205
13,1996-04-07,104-09,37.0567,130.6267,10.9134,10.1934,10.1934,10.1934,10.1934,7.5762,5.7758,5.7758,5.7758,3.414,2.3413,1.262,0.6135876922006025,0.4723
14,1991-04-10,104-09,37.0567,130.6267,10.927,10.927,10.927,9.4566,9.4566,8.1328,8.1328,8.1328,8.1328,5.239,5.239,3.3433,0.6156251788397245,0.7528
15,2005-04-17,104-09,37.0567,130.6267,14.1261,11.794,11.794,11.794,11.4044,8.9853,6.1528,6.1528,6.1528,6.1528,1.7044,1.3499,0.5315921609655002,0.6656
16,1991-04-10,104-09,37.0567,130.6267,11.3817,11.3817,10.058,10.058,10.058,6.8314,6.8314,6.8314,6.8314,6.8314,1.5875,1.2672,0.9957656185611805,0.5778
17,1996-04-07,104-09,37.0567,130.6267,10.1809,10.1809,10.1809,9.4796,9.4796,8.6933,8.569,8.569,8.569,2.3856,2.1756,1.4514,0.8678002978071769,0.655
18,1979-04-18,104-09,37.0567,130.6267,11.8724,11.5404,11.5404,11.5404,11.5404,8.7602,8.7602,8.7602,8.6795,2.3648,2.3648,1.6012,0.9328133996484579,0.5523
19,1979-04-18,104-09,37.0567,130.6267,11.7993,11.5602,11.5602,11.4251,11.4251,11.4251,9.4786,9.4786,9.4786,7.1259,2.4604,1.4748,1.0633804501197774,0.5615
20,1973-04-25,104-09,37.0567,130.6267,13.0119,11.5305,11.4633,11.3666,10.2312,10.2312,8.5642,8.5642,8.5642,4.5316,2.498,1.0861,0.5243352707801032,0.4427
21,2005-04-17,104-09,37.0567,130.6267,10.1863,10.1863,10.1863,10.1863,10.1863,9.8832,6.2741,6.2741,6.2741,6.2741,2.5732,0.7264,0.6679068667747778,0.5509
22,1975-04-19,104-09,37.0567,130.6267,11.1776,11.1776,11.1776,11.1776,11.1776,10.8419,8.0901,8.0901,4.4023,4.4023,1.1783,0.8689,0.5403453982036289,0.4612
23,1973-04-25,104-09,37.0567,130.6267,11.5699,11.5699,11.5699,11.2792,11.2792,10.7816,10.5182,7.6644,7.6533,6.3651,2.0735,1.2847,0.6530084944528176,0.7379
24,2001-04-16,104-09,37.0567,130.6267,14.0604,13.0097,12.0501,12.0501,12.0501,11.4841,11.4841,9.863,9.863,5.2916,1.7168,1.1858,0.8196108531141161,0.656
25,1998-04-10,104-09,37.0567,130.6267,12.2661,12.2661,12.2661,11.3943,11.3943,11.3943,10.1777,10.1777,8.8127,4.7627,2.7207,1.2224,0.6624322692989331,0.6431
26,2001-04-16,104-09,37.0567,130.6267,12.8971,12.2507,12.2507,11.5791,11.5112,11.5112,10.8059,10.8059,8.6823,7.4365,1.8094,1.0192,0.6582680543401213,0.7583
27,2000-04-15,104-09,37.0567,130.6267,11.3098,10.6342,10.6342,10.6342,10.6342,8.0284,8.0284,8.0284,8.0284,8.0284,7.3975,7.2656,0.9560833719611928,0.6453
28,1989-04-21,104-09,37.0567,130.6267,12.831,12.831,12.2391,12.2391,11.5813,11.5813,10.2713,10.2713,7.7079,4.0829,2.2755,1.1582,1.003798131604834,0.5486
29,1969-04-23,104-09,37.0567,130.6267,13.2093,10.3708,10.3708,10.3708,9.6418,8.792,7.6524,7.6524,7.5643,5.6798,1.6403,0.6553,0.6983348538621348,0.456
30,1974-04-27,104-09,37.0567,130.6267,12.6537,11.4431,11.4431,11.4431,11.4431,11.4431,11.1976,11.1976,9.0758,7.5822,2.0977,1.2598,0.9433482476124089,0.595
31,2001-04-16,104-09,37.0567,130.6267,13.4863,12.4124,11.9845,11.4304,11.4304,11.4304,11.1613,10.1645,9.8629,2.8757,1.4113,1.5283,0.7310466805614074,0.4764
32,1973-04-25,104-09,37.0567,130.6267,11.9774,11.9774,11.9774,11.3326,11.3326,11.3326,8.0951,5.7752,5.0938,5.0938,3.008,0.62,0.7351101741606181,0.5732
33,1973-04-25,104-09,37.0567,130.6267,11.5353,11.5353,11.5353,10.9483,10.9483,10.9483,10.4158,9.8702,9.0416,5.9434,2.2859,1.3463,0.6626595594449094,0.5842
