,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,1977-08-12,104-09,37.0567,130.6267,23.0704,23.0704,23.0681,16.3858,14.4166,13.9606,11.1928,11.1928,10.3394,6.6952,3.5604,1.4293674806825338,0.4787,0.5777
1,2002-08-17,104-09,37.0567,130.6267,22.0294,22.0294,20.1181,16.0918,14.5458,11.1823,9.8918,9.409,9.409,4.5438,1.2319,1.6578110831700492,1.241,0.7307
2,1977-08-12,104-09,37.0567,130.6267,23.988,22.717,17.8672,15.7601,12.6978,12.6978,12.6978,9.8215,6.9824,5.4767,2.6279,1.121370885610765,0.6048,0.6515
3,1977-08-12,104-09,37.0567,130.6267,23.8866,23.8866,20.752,17.2632,15.1819,14.3416,11.9471,9.6915,9.6915,4.0123,2.6536,1.3216587502828,0.8978,0.4265
4,1973-08-25,104-09,37.0567,130.6267,22.8337,22.8337,20.213,15.16,15.16,13.9788,13.769,10.7829,9.5301,5.7022,1.3164,1.9509478322856664,0.6152,0.8502
5,2002-08-17,104-09,37.0567,130.6267,23.754,23.754,18.9963,16.8652,15.4151,13.9119,13.9119,8.0258,8.0258,6.1901,1.8665,1.2884940621605905,0.8018,0.7865
6,1974-08-20,104-09,37.0567,130.6267,21.3415,21.3415,21.3415,13.439,13.3297,12.2759,11.1002,10.9318,9.3301,5.8563,5.8563,1.2249894475843792,0.8213,0.8836
7,1991-08-07,104-09,37.0567,130.6267,22.82,22.82,22.7016,16.644,15.0163,14.3778,14.0311,11.0334,8.9056,6.1644,1.2747,2.0045345871695526,1.0583,0.682
8,2011-08-28,104-09,37.0567,130.6267,23.3625,22.1091,16.9511,16.9511,14.574,12.6217,12.4957,10.9716,10.2998,7.0166,2.1021,1.6517530547059456,0.9213,0.6354
9,2008-08-11,104-09,37.0567,130.6267,24.4859,22.0352,19.8124,14.6029,13.9712,13.4331,12.4296,9.9539,8.79,2.7027,2.1558,0.74,0.7539,0.6322
10,2002-08-17,104-09,37.0567,130.6267,24.6418,21.7954,20.2327,16.0407,13.6187,13.137,9.6207,9.6207,9.6207,7.2713,2.7624,1.5484980722312414,0.8412,0.6675
11,2008-08-11,104-09,37.0567,130.6267,23.8495,19.8072,19.6892,16.0844,14.7197,11.4074,9.5342,9.1609,8.5787,6.6491,2.6604,1.3481655194880344,0.7425,0.6457
12,1980-08-11,104-09,37.0567,130.6267,24.2214,21.8737,21.4382,16.5874,12.8961,12.2812,9.5309,9.3995,3.1124,1.9187,1.2387,1.2799263854220255,0.8842,0.5804
13,1978-08-12,104-09,37.0567,130.6267,22.6294,20.9545,19.1135,19.1135,13.7145,13.7145,11.2605,9.88,7.7674,5.0009,1.7776,1.1029421194076934,0.9513,0.5879
14,1977-08-12,104-09,37.0567,130.6267,27.1079,22.3379,19.4177,14.5963,14.5963,12.9191,10.95,10.95,9.2058,4.4004,2.1058,1.4023262674417383,0.586,0.6209
15,1978-08-12,104-09,37.0567,130.6267,24.6526,23.305,17.9919,13.4634,13.4634,12.4152,12.4152,9.3424,8.3052,7.3293,2.5547,1.9312668870626544,0.6811,0.7025
16,1993-08-17,104-09,37.0567,130.6267,24.5491,21.2903,19.4747,16.0627,12.6095,9.4502,9.4502,6.2655,2.7747,1.7268,1.428,1.3024056999973204,0.6801,0.6093
17,1973-08-25,104-09,37.0567,130.6267,23.8089,23.8089,19.3245,14.5495,14.5495,11.7979,9.9978,9.1682,9.1682,7.5245,2.6526,1.3551141826816375,1.3026,0.7962
18,1977-08-12,104-09,37.0567,130.6267,26.7729,23.4323,19.8643,16.2671,15.6966,14.2832,10.9324,10.5556,2.5261,2.5261,1.828,1.1661639664264065,1.0516,0.6067
19,1993-08-17,104-09,37.0567,130.6267,22.5009,22.5009,20.7662,17.5247,11.0335,5.8395,5.8395,5.8395,3.4896,3.4896,2.5953,1.1050607463594937,0.8862,0.6295
20,1995-08-10,104-09,37.0567,130.6267,25.65,20.755,19.2885,15.8845,12.4719,12.4719,9.7708,9.7708,9.7708,5.5862,1.2726,1.2165873584550377,0.8261,0.5639
21,1991-08-07,104-09,37.0567,130.6267,24.7297,21.9905,19.9996,15.6567,14.5689,12.4515,11.6458,9.8553,8.7487,8.5907,2.4828,1.1041786782163725,0.5623,0.6818
22,1977-08-12,104-09,37.0567,130.6267,21.809,21.809,19.9316,18.1627,13.4702,12.0509,10.9549,10.0403,10.0403,2.2369,1.8853,1.1567901602749733,0.5065,0.6374
23,1975-08-12,104-09,37.0567,130.6267,24.1916,23.4222,21.4592,18.472,14.7849,14.5088,13.6428,12.1291,10.9118,7.108,2.8229,0.8651530039267847,0.6237,0.5851
24,1977-08-12,104-09,37.0567,130.6267,27.166,24.0747,18.3785,15.7622,14.4634,12.8779,12.7757,11.3092,11.3092,7.9822,3.1699,1.0327469438658181,0.6641,0.6365
