,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,1993-06-02,104-09,37.0567,130.6267,19.9165,17.5336,14.887,14.887,14.887,14.67,11.2574,9.7637,9.6625,6.1172,6.1172,2.0396,0.77,0.6739
1,1972-06-09,104-09,37.0567,130.6267,19.4045,16.9561,15.4365,15.3962,15.2916,11.5865,9.3415,9.3415,2.1814,2.1814,2.1814,1.3665,0.6898,0.5426
2,1976-06-13,104-09,37.0567,130.6267,17.4872,17.4872,17.1957,16.0515,14.855,13.5275,12.3556,9.3885,9.037,8.5985,6.0083,1.8964,0.9778,0.8102
3,1989-06-26,104-09,37.0567,130.6267,17.5523,17.5523,17.4443,15.5364,14.9261,14.2935,10.6266,10.0589,8.8347,5.6463,2.8989,0.6313,0.6783,0.5999
4,1974-06-15,104-09,37.0567,130.6267,17.6854,17.6854,16.6923,11.69,10.2014,10.2014,7.9717,7.9298,7.9298,5.2806,1.6344,1.2365,0.7913,0.5328
5,1990-06-06,104-09,37.0567,130.6267,18.3813,18.027,16.9589,15.0108,14.7328,12.5821,10.6609,10.2091,9.1355,6.7571,3.2727,1.5992,0.8829,0.4616
6,1990-06-06,104-09,37.0567,130.6267,17.1683,17.1683,15.7568,15.7335,14.9925,11.6615,11.4126,11.105,9.5994,5.5258,2.4273,0.8186,0.8632,0.6801
7,2004-06-14,104-09,37.0567,130.6267,18.5386,17.2435,17.2278,15.5206,14.3311,13.1323,10.4247,9.7832,9.0817,5.7092,2.2485,1.6381,0.8361,0.7692
8,1995-06-09,104-09,37.0567,130.6267,19.2765,17.9018,16.7741,15.8305,15.555,13.0954,11.4938,10.3667,7.9565,6.5696,3.5113,1.7215,0.8319,0.6004
9,1975-06-16,104-09,37.0567,130.6267,19.7454,18.1356,17.2454,15.5461,15.455,13.8786,11.3017,11.3017,9.6128,1.4508,1.4508,1.0963,0.7945,0.7474
10,1976-06-13,104-09,37.0567,130.6267,19.6335,17.7347,17.1376,16.5112,14.89,14.0902,11.5384,11.51,10.2187,9.9148,1.4554,1.5472,0.8607,0.5627
11,2009-06-08,104-09,37.0567,130.6267,18.1557,17.8968,15.5952,15.5952,14.2807,11.9565,10.7684,10.0382,8.4604,5.238,1.7921,1.8307,0.6748,0.5723
12,1978-06-14,104-09,37.0567,130.6267,18.0923,17.4461,14.6988,14.6988,14.1054,13.9793,11.8929,10.0549,10.0549,10.0549,7.3188,4.725,0.9929,0.9018
13,1995-06-09,104-09,37.0567,130.6267,17.8331,17.8331,17.3666,15.9172,14.0777,12.9748,11.274,10.7559,9.4947,7.4621,1.4631,1.3376,0.7315,0.7322
14,1995-06-09,104-09,37.0567,130.6267,16.7338,16.7338,16.5813,15.4737,14.6998,11.2627,10.2174,10.2174,8.6169,6.8176,2.9246,1.0829,0.8534,0.736
15,2009-06-08,104-09,37.0567,130.6267,18.9848,17.6602,17.6602,16.3946,15.0956,11.6612,9.6903,8.3057,8.3057,6.2638,2.6194,1.6211,0.973,0.5861
16,1999-06-06,104-09,37.0567,130.6267,18.6255,17.8267,17.6222,16.3496,13.8019,13.4559,11.3314,9.8981,9.1223,3.7843,1.8621,2.0867,0.727,0.5445
17,1997-06-10,104-09,37.0567,130.6267,19.4637,18.7319,16.8734,16.4381,13.5065,12.1278,11.3663,11.3663,8.9983,5.4353,2.3205,1.0202,0.8247,0.5211
18,1974-06-15,104-09,37.0567,130.6267,17.3994,16.5788,16.5788,16.126,11.3173,11.3173,10.3014,8.2735,8.2735,5.8101,2.6701,1.3294,0.8343,0.6336
19,1995-06-09,104-09,37.0567,130.6267,19.9874,18.4628,17.0724,16.3593,14.2547,13.3343,10.7486,10.7486,9.8539,8.3597,2.0553,1.8569,0.775,0.6979
20,2005-06-23,104-09,37.0567,130.6267,19.2808,18.6168,17.7836,15.3167,14.4059,14.0796,10.9211,10.0572,9.8345,3.9796,3.0111,1.1805,0.7091,0.6707
21,1977-06-16,104-09,37.0567,130.6267,18.2142,18.2142,16.7462,15.7129,10.9672,10.9672,9.2969,8.4157,8.4157,5.3885,2.6056,0.9495,0.7518,0.6806
22,2009-06-08,104-09,37.0567,130.6267,18.1183,17.1013,16.1133,15.1394,11.0737,11.0737,10.5334,8.4825,8.0722,2.6745,2.6745,1.0551,0.6087,0.5233
23,1972-06-09,104-09,37.0567,130.6267,18.2153,17.8349,16.8671,16.2218,15.4904,14.67,11.3899,10.2517,7.6851,5.7841,1.3587,1.5536,0.6262,0.5949
24,1997-06-10,104-09,37.0567,130.6267,19.4715,17.2773,17.2773,15.5111,9.7522,9.7522,9.7522,9.7522,8.5701,3.6405,2.5215,0.7486,0.9893,0.79
25,1972-06-09,104-09,37.0567,130.6267,20.0563,18.45,15.928,15.928,13.6886,13.0257,11.539,9.1056,3.7909,3.7909,1.0154,0.837,0.5257,0.4045
26,1998-06-08,104-09,37.0567,130.6267,19.0751,17.9376,16.4802,16.3844,15.524,11.7043,11.2963,9.5746,8.5504,5.156,2.514,1.4948,0.7108,0.5282
27,2005-06-23,104-09,37.0567,130.6267,19.5923,18.4052,16.4543,16.4543,14.5963,12.633,10.3076,10.0544,9.763,4.9286,2.1942,1.8621,0.6717,0.706
28,1990-06-06,104-09,37.0567,130.6267,19.5031,17.4425,17.1051,16.2716,15.7378,13.6581,9.8587,9.7197,9.3134,8.4024,1.7986,1.5785,0.9236,0.6577
29,2002-06-06,104-09,37.0567,130.6267,19.4408,18.37,17.9764,15.6396,14.1567,12.6566,9.596,9.3392,9.3392,4.3882,2.0886,1.8017,0.9692,0.7496
30,1972-06-09,104-09,37.0567,130.6267,18.3989,17.2658,17.2658,16.5771,15.1421,13.8166,9.5192,8.9065,8.7236,5.2537,1.3409,1.6306,0.8559,0.7317
31,2009-06-08,104-09,37.0567,130.6267,18.1849,17.5313,17.105,15.0726,14.6862,13.824,8.0462,8.0462,8.0462,5.0206,2.0466,1.7072,0.8321,0.6977
32,2009-06-08,104-09,37.0567,130.6267,17.5628,17.5628,16.9605,15.1954,14.015,11.9818,10.691,8.9918,8.5197,5.9422,2.1031,1.0744,0.8989,0.5542
33,1977-06-16,104-09,37.0567,130.6267,18.7719,18.5537,16.4437,14.646,9.4136,9.4136,9.4136,9.0168,8.2145,8.2145,5.9474,1.5329,0.8404,0.557
34,1997-06-10,104-09,37.0567,130.6267,19.0591,18.5766,17.6893,16.6942,14.7963,13.4874,9.5142,9.5142,9.5142,6.9105,2.7504,0.62,0.7047,0.6411
35,2005-06-23,104-09,37.0567,130.6267,19.1778,18.7856,15.3766,15.3766,12.9419,10.808,9.2682,8.5572,8.5572,6.0116,1.1574,1.0675,0.7197,0.5947
36,1990-06-06,104-09,37.0567,130.6267,18.2796,18.1335,17.127,15.3283,14.7138,13.156,11.2874,10.7137,10.3847,8.3629,2.8812,0.7624,0.8453,0.6198
37,2009-06-08,104-09,37.0567,130.6267,18.8309,17.6321,16.4134,15.3516,14.8693,13.0499,10.5526,10.5101,9.0427,2.9399,1.5358,1.5321,0.6441,0.5734
38,2009-06-08,104-09,37.0567,130.6267,17.5956,17.5956,17.5493,16.0516,15.0207,12.3582,9.9911,8.4334,8.4334,3.2431,3.2431,1.0573,0.7724,0.7537
39,1990-06-06,104-09,37.0567,130.6267,19.3788,17.3075,16.6672,14.873,14.873,12.1232,10.0939,9.0592,9.0151,5.9602,3.378,2.2826,0.8655,0.6498
