,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,1973-12-14,105-08,37.5533,130.3117,13.8146,13.8146,13.8146,13.8146,12.0518,12.0518,9.029,9.029,8.953,3.6731,1.5313,1.4047,0.5817,0.4874
1,2011-12-14,105-08,37.5533,130.3117,14.9272,14.9272,14.9272,14.7576,14.7576,14.6375,14.6375,14.6375,8.3948,2.1185,1.2663,0.8151,0.6788,0.5176
2,1976-12-13,105-08,37.5533,130.3117,12.2803,12.2803,12.2803,12.2803,12.2803,12.2803,12.2803,12.2803,8.6644,3.3361,2.6641,1.59,0.6687,0.6576
3,2010-12-20,105-08,37.5533,130.3117,16.398,15.3043,15.291844850057396,15.2622,14.8699,14.8699,13.4452,12.8901,3.9572,3.7564,3.2528,1.4325,0.8251,0.6341
4,1999-12-28,105-08,37.5533,130.3117,13.8222,13.727,13.727,13.727,13.727,13.727,13.5456,12.5415,7.6135,4.3975,2.5675,1.6208,0.8989,0.3227
5,1999-12-28,105-08,37.5533,130.3117,13.6435,13.6435,13.6435,13.6435,13.6435,13.6435,10.3574,10.3574,7.2996,5.6001,1.5236,1.1381,0.9504,0.5733
6,1968-12-08,105-08,37.5533,130.3117,14.6242,14.6242,14.546980588371772,13.9616,13.9616,13.9616,6.2889,5.0786,5.0786,2.3708,1.2261,1.4824,0.5145,0.5916
7,1975-12-18,105-08,37.5533,130.3117,14.1941,14.1941,14.1941,14.1941,14.1941,14.0768,14.0768,11.4512,11.4512,11.0427,2.1555,1.5348,1.108,0.5659
8,2011-12-14,105-08,37.5533,130.3117,15.1674,15.1674,15.1674,15.1674,14.1524,13.6933,13.6933,13.0007,9.6135,2.6155,2.6155,2.1838,0.692,0.7917
9,1987-12-12,105-08,37.5533,130.3117,15.1785,15.1785,15.1785,14.2553,14.0062,14.0062,10.9664,10.9664,6.2093,2.787,1.8913,1.624,0.9004,0.5094
10,1973-12-14,105-08,37.5533,130.3117,12.7866,12.7866,12.7866,12.7866,12.7866,12.7866,12.7866,11.0021,8.887,3.5754,2.5939,1.3147,0.6921,0.6711
11,1998-12-16,105-08,37.5533,130.3117,14.1548,14.1548,14.1548,13.583,13.583,13.583,13.583,13.262,6.9577,3.8676,2.5063,0.8194,0.8899,0.4425
12,1968-12-08,105-08,37.5533,130.3117,14.4983,13.6271,13.6271,13.3228,13.3228,12.9202,6.7661,6.023,3.8775,1.9293,1.1051,1.0595,0.415,0.4888
13,2010-12-20,105-08,37.5533,130.3117,15.499,15.2529,14.269456487506028,14.269456487506028,14.269456487506028,14.0354,12.3729,12.1726,7.8177,2.7733,1.481,1.1186,1.0615,0.6638
14,2001-12-19,105-08,37.5533,130.3117,13.6387,13.6387,13.6387,13.5519,13.5519,13.5519,13.0932,11.9729,9.0379,3.1069,1.059,1.0258,0.617,0.5645
15,1996-12-12,105-08,37.5533,130.3117,14.6224,14.6224,14.6224,14.2594,12.3335,9.8876,4.1644,4.1644,1.64,1.64,1.64,1.2037,0.5459,0.638
16,2001-12-19,105-08,37.5533,130.3117,14.108,14.108,14.108,14.108,13.6767,13.6767,13.6767,13.4658,5.9179,4.3685,0.85,0.8209,0.6338,0.7173
17,1981-12-17,105-08,37.5533,130.3117,13.9581,13.9581,13.9581,13.9581,13.7317,13.7317,11.9384,11.762,11.371,9.6308,0.9262,1.9087,1.2321,0.7568
18,1999-12-28,105-08,37.5533,130.3117,15.0491,14.4613,14.4613,13.8708,13.8708,13.8708,13.8708,12.4732,7.7426,3.5817,1.6988,0.7974,1.2519,0.6742
19,1968-12-08,105-08,37.5533,130.3117,12.9716,12.9716,12.9716,12.9716,9.9607,9.9607,3.52,3.52,3.52,2.9096,1.6481,1.2232,1.1859,0.5255
20,1987-12-12,105-08,37.5533,130.3117,15.4979,15.4979,15.308577197601947,15.0123,14.4206,13.3281,13.3281,12.8561,1.64,1.64,1.64,1.397,1.3397,0.5075
21,1996-12-12,105-08,37.5533,130.3117,14.0202,14.0202,14.0202,14.0202,13.03,13.03,4.7383,2.02,2.02,2.02,2.02,1.4466,0.8563,0.5383
22,1977-12-12,105-08,37.5533,130.3117,15.4914,15.4914,15.336729455693774,14.6013,14.6013,13.6108,13.6108,13.3692,11.0262,11.0262,2.322,1.3934,1.0855,0.5104
23,1973-12-14,105-08,37.5533,130.3117,13.1527,13.1527,13.1527,13.1527,13.1527,12.3465,12.3465,12.1046,5.8577,3.5045,1.1657,1.071,0.861,0.641
24,1996-12-12,105-08,37.5533,130.3117,15.8241,15.74,15.516133081052907,15.516133081052907,12.6807,12.6807,5.5793,5.3882,5.0704,2.997,2.2224,1.679,0.9211,0.6633
25,1987-12-12,105-08,37.5533,130.3117,14.7931,14.7931,14.7931,14.7931,14.7117,14.1599,13.2928,12.8659,5.7753,2.7903,2.0528,0.9545,0.9034,0.6645
26,1999-12-28,105-08,37.5533,130.3117,14.6219,14.5017,14.5017,14.5017,13.7987,13.7987,13.7987,13.7987,5.205,3.4868,1.8808,2.1414,0.619,0.3981
27,1973-12-14,105-08,37.5533,130.3117,15.0711,13.1495,13.1495,13.1495,13.1495,13.1495,13.1495,11.4976,11.4976,3.5878,3.1607,1.269,1.1486,0.667
