,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500
0,1981-02-21,105-10,37.5533,130.9317,9.4402,9.4402,9.4402,9.4402,9.4402,9.4402,9.4402,5.3549,4.8538,4.8538,3.0066,0.44,0.43,0.636
1,1973-02-13,105-10,37.5533,130.9317,10.5687,10.5687,10.2836,10.2016,10.2016,10.2016,10.2016,9.1163,9.1163,9.1163,2.4318,1.7094,0.964,0.6248
2,1994-02-18,105-10,37.5533,130.9317,10.3416,10.3416,9.4385,9.4385,9.4385,9.4385,6.4959,6.4959,6.262,2.1834,2.1834,1.1719,0.5127,0.5045
3,1977-02-08,105-10,37.5533,130.9317,9.7495,8.9158,8.9158,8.9158,8.9158,8.9158,8.9158,8.1117,8.1117,4.338,1.3675,3.387,1.9663,0.6247
4,1994-02-18,105-10,37.5533,130.9317,9.31,9.31,9.31,9.31,9.31,9.31,8.9287,6.3722,3.7216,1.2908,1.2908,0.9854,1.0673,0.4722
5,2001-02-18,105-10,37.5533,130.9317,9.9787,9.9787,9.9787,9.9787,9.9787,9.9787,9.5248,6.6693,6.6693,2.8251,1.9491,1.3339,0.7735,0.4647
6,2011-02-19,105-10,37.5533,130.9317,11.7343,10.5753,10.5753,9.9056,8.9748,8.9748,8.9748,8.9748,8.7888,4.9417,1.5581,1.9144,1.8405,0.7997
7,2006-02-24,105-10,37.5533,130.9317,10.8497,10.2673,10.1481,10.1481,9.5835,8.35,8.3073,8.3073,2.09,2.09,1.8025,2.0092,0.7328,0.5089
8,2000-02-29,105-10,37.5533,130.9317,10.4974,9.9191,9.9191,9.9191,9.0417,9.0417,9.0417,9.0417,9.0417,8.581,5.5402,2.7695,1.6318,0.5665
9,1981-02-21,105-10,37.5533,130.9317,8.2279,7.7048,6.4829,6.4829,6.4829,6.4829,6.4829,6.4829,5.7181,1.2,1.2,1.2331,0.7949,0.6692
10,2007-02-07,105-10,37.5533,130.9317,11.5624,11.5624,11.5624,11.3537,10.5148,10.5148,8.1575,5.1153,4.4289,1.3085,1.3085,0.5653,0.9255,0.7602
11,2001-02-18,105-10,37.5533,130.9317,9.9373,9.3271,9.3271,9.3271,9.3271,9.3271,9.3271,6.8744,2.008,2.008,0.96,0.7101,0.7628,0.7443
12,1996-02-14,105-10,37.5533,130.9317,9.8641,9.4003,7.8831,7.8831,7.1609,7.1609,7.1609,7.1609,5.7005,2.9268,2.1682,1.349,0.9203,0.6918
13,1979-02-10,105-10,37.5533,130.9317,10.1831,10.1831,10.1831,10.1831,10.1831,10.056,9.5874,9.347,9.347,7.8489,5.7621,2.7121,1.3263,0.6416
14,2006-02-24,105-10,37.5533,130.9317,8.289,8.289,8.289,8.289,8.289,8.289,8.289,7.1731,6.0684,2.3937,2.3937,0.7453,0.8812,0.7053
15,1999-02-09,105-10,37.5533,130.9317,10.6898,10.6898,10.6898,9.9609,9.9609,9.9609,9.9609,9.9609,9.9609,8.0757,8.0757,1.7046,1.7388,0.4764
16,2011-02-19,105-10,37.5533,130.9317,9.5548,9.5548,9.2308,9.2308,9.1155,9.1155,9.1155,9.1155,8.2972,8.2972,5.5444,1.4917,1.788,0.6507
17,1994-02-18,105-10,37.5533,130.9317,9.4363,9.4363,9.4363,9.4363,9.4363,9.4363,9.4363,9.4363,3.5498,3.5498,1.9137,0.8384,1.1214,0.6775
18,2002-02-14,105-10,37.5533,130.9317,8.6371,7.6101,7.6101,7.6101,7.6101,7.6101,4.4524,4.4524,3.2415,2.7756,1.4531,0.44,0.7443,0.34
19,1976-02-19,105-10,37.5533,130.9317,11.0869,10.7162,10.7162,9.9945,9.9945,9.9945,9.9945,9.2591,9.2591,3.2313,2.8997,0.5855,0.8662,0.6508
20,2009-02-26,105-10,37.5533,130.9317,10.9182,10.9182,10.9182,10.9182,9.6168,9.6168,8.582,8.582,3.5206,1.2907,1.2907,1.0578,0.6554,0.8022
21,2006-02-24,105-10,37.5533,130.9317,11.2258,8.7318,8.7318,8.7318,8.7318,8.7318,8.7318,8.7318,4.1546,4.0181,2.6618,1.2821,0.758,0.5551
22,2003-02-25,105-10,37.5533,130.9317,9.2457,9.2457,9.2457,9.2457,9.2457,9.2457,9.2457,7.1846,4.8502,3.1232,1.8674,1.5758,0.9327,0.6625
23,2008-02-19,105-10,37.5533,130.9317,10.3941,10.3941,10.3941,10.3941,10.3941,10.3941,10.3941,10.3941,10.3941,10.1458,4.6428,3.3053,1.4295,0.6775
24,2006-02-24,105-10,37.5533,130.9317,10.5047,9.975,9.975,9.0027,9.0027,8.7339,8.7339,7.3151,3.5801,2.0809,2.0386,1.6852,0.7552,0.5311
25,2002-02-14,105-10,37.5533,130.9317,9.099,8.9612,7.1374,7.1374,7.1374,7.1374,7.1374,5.2584,4.7279,1.2,0.96,2.2684,0.8211,0.4019
26,1994-02-18,105-10,37.5533,130.9317,10.1724,10.1724,10.1724,10.1724,10.0299,10.0099,10.0099,8.1701,4.9122,2.0174,1.128,1.5767,0.7716,0.4433
27,2011-02-19,105-10,37.5533,130.9317,10.9777,9.9816,9.9198,9.7175,9.7175,9.7175,8.0043,6.0534,6.0534,6.0534,5.1195,1.6412,1.4507,0.6541
28,1996-02-14,105-10,37.5533,130.9317,8.5819,8.5819,8.5819,8.5819,8.5819,8.5819,8.5608,8.5608,5.376,2.3548,1.3168,1.2789,0.6095,0.5834
29,2001-02-18,105-10,37.5533,130.9317,11.7625,9.8401,9.8401,9.7946,9.4132,8.9427,7.7989,5.5412,5.1282,1.6007,1.6007,0.958,0.8637,0.6166
30,2006-02-24,105-10,37.5533,130.9317,9.9386,9.9386,9.9386,9.9386,9.9386,9.9386,9.9386,7.8976,7.8976,3.1663,2.0587,1.9125,0.5559,0.7036
31,1972-02-15,105-10,37.5533,130.9317,9.8803,9.8803,9.8803,9.8803,9.8803,9.8803,9.8205,9.8205,9.8205,9.431,7.6696,2.2719,1.358,0.6884
32,2006-02-24,105-10,37.5533,130.9317,10.885,10.6228,9.225,9.225,9.225,9.1973,9.1973,8.3091,1.93,1.2,1.2,1.3987,0.4775,0.6144
33,1977-02-08,105-10,37.5533,130.9317,10.375,8.8771,8.8771,8.8771,8.8771,8.8771,8.2293,8.2293,8.2293,7.9613,2.4958,1.613,1.7938,0.7553
34,1975-02-26,105-10,37.5533,130.9317,8.4505,7.8499,7.7625,7.7625,7.7625,6.2137,4.2255,4.2255,2.4216,2.4216,1.5926,1.0715,0.9563,0.5061
35,2001-02-18,105-10,37.5533,130.9317,11.1584,11.1584,11.1584,11.1584,10.3207,10.3207,8.4717,5.7973,5.7973,2.8857,0.96,1.9867,0.6556,0.6278
36,1972-02-15,105-10,37.5533,130.9317,9.3037,9.3037,9.3037,9.3037,9.3037,9.3037,9.3037,7.7607,7.7607,7.7607,6.0336,2.201,1.5452,0.6954
37,2006-02-24,105-10,37.5533,130.9317,9.3439,8.8579,8.8579,8.8579,8.8579,8.8579,8.8579,7.0764,4.0227,2.0273,0.9841,1.9022,0.8211,0.5647
38,1973-02-13,105-10,37.5533,130.9317,10.8185,9.2114,9.2114,9.2114,9.2114,9.2114,9.2114,6.4205,6.4205,2.8121,1.4953,0.9038,0.705,0.7997
39,1977-02-08,105-10,37.5533,130.9317,10.5231,10.5231,8.7646,8.7646,8.7646,8.6539,8.446,8.446,8.446,8.446,8.446,6.7901,1.7026,0.959
40,1996-02-14,105-10,37.5533,130.9317,8.8634,8.8634,8.8634,8.8634,8.8634,8.8634,8.8634,5.939,4.0881,1.7695,1.0322,2.1509,1.2209,0.572
41,1977-02-08,105-10,37.5533,130.9317,7.1045,7.1045,7.1045,7.1045,7.1045,7.1045,7.1045,7.1045,7.1045,7.1045,2.1476,2.9482,1.7477,0.7684
42,2001-02-18,105-10,37.5533,130.9317,10.923,10.7057,10.7057,10.7057,10.7057,10.7057,10.5402,8.6711,8.6711,2.1146,1.9246,2.0794,0.8888,0.4612
43,1977-02-08,105-10,37.5533,130.9317,10.216,10.216,10.216,9.7202,9.7202,8.3726,8.3726,8.3726,8.3726,6.91,6.91,1.8909,1.3193,0.6254
44,2006-02-24,105-10,37.5533,130.9317,11.078,9.1323,9.1323,9.1323,9.1323,9.0811,9.0811,4.4008,4.4008,4.1276,1.3914,1.771,0.9953,0.7516
45,1972-02-15,105-10,37.5533,130.9317,10.3828,10.3828,10.3828,10.3828,9.8337,9.8337,8.3743,8.3743,8.3743,8.3743,7.5375,1.9644,1.9118,0.6803
46,1977-02-08,105-10,37.5533,130.9317,9.9089,9.9089,9.9089,9.9089,9.9089,9.6527,9.6527,9.5649,9.5649,9.1244,6.3966,1.8635,1.5395,0.6513
47,2003-02-25,105-10,37.5533,130.9317,10.8354,10.7862,10.7862,9.2953,9.2953,8.9084,7.684,5.4208,2.414,1.8276,1.5988,1.606,0.6011,0.5204
48,1999-02-09,105-10,37.5533,130.9317,11.7037,10.865,10.4255,9.3255,9.3255,9.3255,9.3255,9.3255,9.3255,3.6205,2.3524,0.9041,0.6136,0.6042
49,1976-02-19,105-10,37.5533,130.9317,10.4815,10.4815,10.4815,9.577,9.577,9.577,9.577,8.472,8.472,1.2,1.2,0.4811,0.7566,0.6496
50,2003-02-25,105-10,37.5533,130.9317,10.4837,9.5472,9.5472,9.5472,9.5472,9.4175,9.2493,7.1548,3.4911,1.8836,1.802,0.7979,0.6972,0.6182
51,1996-02-14,105-10,37.5533,130.9317,9.5674,9.5674,9.5674,9.0163,8.4237,8.4237,8.1477,7.1733,3.4687,2.0609,2.0609,2.1194,0.7069,0.4571
52,1996-02-14,105-10,37.5533,130.9317,8.2956,8.2956,7.6418,7.6418,7.6418,7.6418,7.6418,7.5412,4.496,1.6516,1.5223,1.8463,0.8935,0.4895
