,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,2010-02-23,104-08,37.0567,130.3117,10.4732,10.4732,10.4732,10.4732,10.4732,10.4732,10.4732,9.4117,7.9192,5.1098,0.948,0.8742,0.6466,0.5039,0.559490535559651
1,1997-02-14,104-08,37.0567,130.3117,11.0456,10.8707,10.5228,10.483,10.2242,7.0649,5.5081,5.0494,1.7288,1.2006,0.9546,0.9147,0.58,0.5263,0.539790318418068
2,2004-02-16,104-08,37.0567,130.3117,10.8724,10.6653,9.8666,9.6831,9.0466,9.0466,9.0466,6.2686,4.1246,3.2945,0.9479,0.8995,0.6315,0.5084,0.48746636788998027
3,1996-02-14,104-08,37.0567,130.3117,9.9959,9.9959,9.9959,9.9959,9.9959,8.1788,7.4583,7.4583,4.6816,1.9521,1.101,1.044,0.8211,0.5125,0.5973503265667169
4,2010-02-23,104-08,37.0567,130.3117,11.0027,10.8459,10.3087,10.1581,9.6163,7.7798,6.3584,4.5335,3.9875,1.2691,0.9521,0.8398,0.7088,0.658,0.5265019677634447
5,1998-02-23,104-08,37.0567,130.3117,11.4999,11.1823,10.1875,10.1875,10.0201,9.7833,8.422,6.8375,6.8375,6.8375,1.2073,1.4722,0.7625,0.6236,0.4892250215401345
6,2001-02-19,104-08,37.0567,130.3117,11.2686,11.1737,11.059,11.059,11.059,9.0424,7.9336,7.9336,7.9336,2.1252,2.1252,1.5454,0.872,0.7724,0.6186401712459878
7,1999-02-15,104-08,37.0567,130.3117,10.5107,10.4457,10.3918,10.3918,10.3918,8.8083,8.3023,8.3023,8.3023,3.5521,3.5521,6.9213,1.0794,0.7662,0.5802536268276052
8,2004-02-16,104-08,37.0567,130.3117,11.0207,11.0207,10.9414,10.8323,10.644,9.982,9.4061,9.069,9.069,4.0135,2.5564,1.1397,0.9878,0.6746,0.5995769594435696
9,1998-02-23,104-08,37.0567,130.3117,11.793,11.793,11.793,11.793,11.793,10.8737,9.9383,9.9383,9.8441,2.8771,2.8771,1.3914,0.927,0.5725,0.6557279451010842
10,1993-02-09,104-08,37.0567,130.3117,12.5851,12.5803,12.1268,12.1268,12.1268,11.2677,10.4205,9.0237,9.0237,2.8513,2.8513,1.3832,0.9156,0.7667,0.5134976298582596
11,1993-02-09,104-08,37.0567,130.3117,11.0122,10.7774,9.9265,9.9265,9.8882,9.8558,9.3344,8.3334,8.3334,4.12,4.12,1.5528,1.0633,0.7829,0.4994626920178437
12,1998-02-23,104-08,37.0567,130.3117,10.4278,10.4278,10.4278,10.4278,10.4278,9.9788,8.6303,7.4095,4.1308,1.7957,0.9824,0.9637,0.6048,0.4542,0.4885520004316268
13,1993-02-09,104-08,37.0567,130.3117,9.9455,9.899,9.6518,9.5365,9.5365,6.1461,4.0511,4.0511,4.0511,2.3858,2.3858,2.4244,1.0899,0.7709,0.5373579967084452
14,1993-02-09,104-08,37.0567,130.3117,11.5446,11.298,10.4876,10.4876,10.2293,6.6628,4.8372,4.8372,4.8372,1.2497,1.2497,1.0676,0.8613,0.7911,0.5105857269355318
15,1999-02-15,104-08,37.0567,130.3117,10.867,10.8311,10.7627,10.7627,10.7541,10.7541,10.7541,10.5794,10.5794,10.5794,2.1829,1.2605,0.9093,0.5891,0.5593760419353809
16,2001-02-19,104-08,37.0567,130.3117,12.5851,12.5803,12.5251,12.5251,12.5251,12.3251,12.233,12.233,10.8688,10.8688,6.6829,7.1026,0.8771,0.5688,0.6314440286312843
17,1997-02-14,104-08,37.0567,130.3117,9.8875,9.8201,9.64,9.1574,8.8984,5.919,3.7363,2.4534,1.6823,1.1801,0.9509,0.8539,0.58,0.4455,0.4363
18,2001-02-19,104-08,37.0567,130.3117,10.7707,10.6282,10.2911,10.2911,10.2911,10.2911,10.2911,9.8023,8.3202,8.3202,2.2633,4.5895,0.775,0.5164,0.5744113632001276
19,1993-02-09,104-08,37.0567,130.3117,10.3397,10.3397,10.3397,10.3397,10.3397,10.3397,9.9677,9.9677,9.9677,5.6585,5.6585,7.62,1.1193,0.6971,0.6634048017478044
20,2012-02-13,104-08,37.0567,130.3117,11.3172,11.1579,10.5732,10.4774,10.2841,10.2841,9.8045,7.3718,3.1842,1.9523,0.9774,1.0895,0.746,0.5488,0.5285961196920774
21,2011-02-20,104-08,37.0567,130.3117,9.8865,9.8718,9.8718,9.8718,9.7427,9.7427,9.7007,8.2516,2.094,1.6537,0.9483,0.9173,0.58,0.566,0.5783399564519738
22,2012-02-13,104-08,37.0567,130.3117,10.2302,10.1753,9.9091,9.7064,9.4666,6.8623,5.0082,4.9284,2.5675,1.3982,0.9778,0.9549,0.6499,0.5502,0.5307002790504455
23,1999-02-15,104-08,37.0567,130.3117,11.6249,11.6249,11.6249,11.6249,11.6249,11.6249,11.3817,11.3817,11.3817,11.3817,7.3962,1.8294,1.1393,0.754,0.6442533669689702
24,1999-02-15,104-08,37.0567,130.3117,11.1193,11.1193,11.1193,11.1193,11.1193,7.934,7.0325,7.0325,5.5416,1.8438,1.8438,3.0612,1.046,0.7378,0.6236447431721642
25,1993-02-09,104-08,37.0567,130.3117,11.6293,11.5201,10.99,10.99,10.99,10.99,10.9202,10.7195,10.7195,7.5346,7.5346,5.6104,1.0274,0.685,0.5394318196242556
26,2012-02-13,104-08,37.0567,130.3117,11.8887,11.8785,11.6966,11.6966,11.6966,11.6966,11.6966,11.6966,11.6966,11.6966,9.6339,7.62,1.4788,0.808,0.6927
27,2004-02-16,104-08,37.0567,130.3117,9.8624,9.8624,9.7913,9.535,9.4323,6.7155,5.1752,5.1752,5.1752,3.2344,1.4557,1.2761,0.9825,0.6719,0.6132826401087699
28,2011-02-20,104-08,37.0567,130.3117,12.0172,12.0172,12.0172,11.9514,11.8668,11.0566,10.3043,9.1961,9.1961,3.3865,3.3865,1.3577,0.8915,0.647,0.5566760549697324
29,2006-02-22,104-08,37.0567,130.3117,9.8601,9.8601,9.8601,9.8601,9.5129,8.3075,7.2951,7.2951,7.2951,4.0448,1.0835,0.9171,0.8761,0.7483,0.5824701098834814
30,2001-02-19,104-08,37.0567,130.3117,10.6503,10.6503,10.5152,10.4815,10.388,9.6319,8.9791,8.4621,5.7432,3.2613,1.2597,1.3118,0.7928,0.527,0.5864081311241462
31,2010-02-23,104-08,37.0567,130.3117,10.8569,10.7273,10.0924,9.9832,9.552,8.5373,7.9229,7.9229,7.9229,4.1559,2.102,1.124,1.1238,0.8168,0.6163254296545588
32,2003-02-24,104-08,37.0567,130.3117,10.1208,10.1208,10.1208,10.1208,10.1208,10.1208,10.1208,10.1208,8.8953,7.4827,3.5974,2.4545,0.8569,0.5508,0.6655149448810198
33,2001-02-19,104-08,37.0567,130.3117,12.4808,12.2465,10.9943,10.7744,10.5551,7.3435,5.6711,5.6711,4.8176,2.4767,1.8499,1.527,0.9464,0.7118,0.6354906429342233
34,1994-02-20,104-08,37.0567,130.3117,11.1353,11.0073,10.5268,10.5268,10.4692,10.2684,10.0083,9.661,9.661,3.2011,3.2011,1.7031,0.9409,0.7528,0.5879924209563097
35,2009-02-27,104-08,37.0567,130.3117,10.7484,10.6888,10.4526,10.4322,10.2648,10.2648,10.2648,8.5991,5.2113,2.5397,1.0758,1.1268,0.6237,0.4765,0.5473569547256969
36,1998-02-23,104-08,37.0567,130.3117,12.0723,11.9409,11.25,11.2082,11.0069,10.2207,9.0645,7.834,7.834,3.0465,3.0465,1.2187,0.8014,0.7077,0.5136419948084688
37,2009-02-27,104-08,37.0567,130.3117,10.7663,10.7663,10.7663,10.7663,10.7663,10.7663,10.7663,10.7663,10.7663,10.7663,5.4883,3.0393,0.9495,0.7441,0.6604285303007457
38,1996-02-14,104-08,37.0567,130.3117,10.3871,10.3734,9.984,9.8692,9.7366,8.9912,8.269,8.269,8.269,8.269,6.5379,2.441,1.1187,0.6927,0.5722243541072716
39,1994-02-20,104-08,37.0567,130.3117,10.5291,10.2956,9.5701,9.0445,8.7142,8.7142,8.5385,7.0199,2.7417,2.7417,0.9491,1.2054,0.7231,0.5128,0.5633762861707814
40,1994-02-20,104-08,37.0567,130.3117,11.5163,11.0714,10.1843,10.1843,9.9427,9.9427,9.9427,8.6676,8.5723,5.0311,1.5462,1.2918,0.6919,0.6237,0.5272434557401349
41,2006-02-22,104-08,37.0567,130.3117,10.5161,10.5161,10.4014,10.3819,10.198,10.198,10.198,10.198,10.198,10.198,1.2629,1.1979,0.8069,0.6178,0.5490645166475839
42,2006-02-22,104-08,37.0567,130.3117,10.0488,10.0297,9.8285,9.6036,9.3783,7.611,6.5962,6.511,2.9337,1.5238,1.1605,1.0888,0.6883,0.5144,0.5121708900149357
43,1998-02-23,104-08,37.0567,130.3117,11.6103,11.4625,11.0199,10.9474,10.8787,10.4129,9.3839,7.1288,5.3099,2.2484,1.6693,1.2043,0.6187,0.4853,0.49802298442171294
44,2009-02-27,104-08,37.0567,130.3117,12.3086,12.1195,11.6291,11.3658,11.0813,11.0813,10.9012,7.7405,7.7405,1.5827,1.5059,0.9522,0.675,0.7556,0.5087410312092873
45,2006-02-22,104-08,37.0567,130.3117,9.9076,9.8937,9.8686,9.7158,9.6791,8.2102,7.2667,7.2667,3.4832,1.6835,1.0071,1.0092,0.668,0.6054,0.5635816144243803
46,2010-02-23,104-08,37.0567,130.3117,12.4954,12.4481,11.7798,11.2962,10.7753,9.8593,8.9303,6.0289,3.3113,1.6682,0.9487,0.8635,0.7201,0.5106,0.5550883799822254
47,1996-02-14,104-08,37.0567,130.3117,10.2721,10.2721,10.2721,10.2721,10.2721,8.9665,7.4789,6.4548,4.2646,1.2,1.2,1.0641,0.58,0.4369,0.4363
48,2011-02-20,104-08,37.0567,130.3117,10.3442,10.2822,10.2822,10.2822,10.2822,6.9495,5.1852,5.1852,5.1852,1.413,1.413,1.3481,0.7259,0.6457,0.5478925167359724
49,2006-02-22,104-08,37.0567,130.3117,11.254,11.0036,10.587,10.5537,10.3535,9.4259,8.3887,6.7339,4.6548,1.9505,1.4227,1.1391,0.5828,0.5284,0.4957973201288888
50,1999-02-15,104-08,37.0567,130.3117,11.2314,11.0365,10.3742,10.3742,10.1349,8.4992,7.8328,7.6209,7.5971,2.2187,1.705,1.0607,0.896,0.6924,0.5765446221823568
51,1998-02-23,104-08,37.0567,130.3117,12.2047,12.0459,11.672,11.672,11.672,9.806,8.6044,7.7254,2.9185,1.4193,1.4193,1.3096,0.6964,0.6205,0.5837848936904029
52,2003-02-24,104-08,37.0567,130.3117,9.876,9.8621,9.8088,9.7613,9.6893,7.4177,5.5638,5.5638,5.5638,1.6624,1.6624,1.0676,0.6041,0.5217,0.45454407482395914
53,2010-02-23,104-08,37.0567,130.3117,10.7111,10.6924,10.5879,10.5821,10.3966,10.3966,10.3966,7.8572,4.9395,3.398,0.9477,0.8497,0.644,0.5128,0.5863939003612972
54,1998-02-23,104-08,37.0567,130.3117,10.135,10.135,10.135,10.135,10.135,8.1619,6.3179,5.4277,1.7859,1.2252,0.9483,0.8517,0.58,0.4368,0.4930348892704136
55,2001-02-19,104-08,37.0567,130.3117,11.2218,11.2218,11.1642,10.9874,10.9874,10.9874,10.9874,10.9874,10.9874,10.9874,1.5558,1.8528,1.2232,0.7919,0.6927
56,2004-02-16,104-08,37.0567,130.3117,9.907,9.907,9.907,9.907,9.907,8.1418,6.692,6.692,5.6678,2.0962,1.6537,1.1489,0.7373,0.5495,0.5542235041254843
57,1997-02-14,104-08,37.0567,130.3117,10.5391,10.5053,10.4867,10.4277,10.0579,6.6172,4.3968,3.3964,1.7588,1.1819,0.9484,0.8338,0.58,0.5685,0.5051750313864432
58,1996-02-14,104-08,37.0567,130.3117,9.6201,9.6201,9.6201,9.6201,9.6201,8.3574,7.3203,7.3203,3.7991,2.627,0.9781,1.0714,0.6297,0.4355,0.5366241227896695
59,2004-02-16,104-08,37.0567,130.3117,11.2496,11.2496,11.2496,11.2496,11.2496,11.2496,11.2496,11.2496,11.2496,11.2496,8.2493,6.3758,1.234,0.7876,0.6927
60,1996-02-14,104-08,37.0567,130.3117,10.201,10.201,10.0729,10.0314,9.8859,9.8859,9.8859,9.8859,9.8859,9.8859,1.3402,1.3478,0.8581,0.5008,0.5203987430045274
61,2006-02-22,104-08,37.0567,130.3117,12.022,11.9165,11.5842,11.5842,11.5842,9.9336,9.1669,9.1669,8.13,2.0957,2.0957,3.9743,0.8966,0.6106,0.5522686976319271
62,2001-02-19,104-08,37.0567,130.3117,10.1493,10.0028,9.3942,8.5058,7.8752,7.8752,7.8752,6.1158,6.1158,6.1158,0.9483,0.9128,0.6263,0.4731,0.5098236144832249
