,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,1994-08-18,105-08,37.5533,130.3117,24.6891,23.5909,18.9714,17.6116,16.2525,12.185,4.3445,2.092490699613622,1.716,1.5259,1.3966,0.8303,0.8244,0.4542,0.4607820335317911
1,1995-08-11,105-08,37.5533,130.3117,23.9288,18.5808,15.4101,14.6441,14.0984,10.6752,7.211,6.182178064151741,2.6857,1.6128,1.3903,1.2711,1.0024,0.6177,0.5321654175220205
2,2000-08-05,105-08,37.5533,130.3117,24.4688,23.8253,23.8253,17.5073,12.1316,12.0839,6.5723,2.7039717630593563,2.7039717630593563,1.538,0.99,0.8214,0.536,0.4814,0.5356945703967501
3,2012-08-24,105-08,37.5533,130.3117,24.1816,20.4025,16.187,13.023,8.4658,6.5099,6.5099,5.715578981854021,4.5245,2.3585,1.2846,0.9165,0.5502,0.6203,0.5903120794076231
4,1995-08-11,105-08,37.5533,130.3117,18.9,18.04,15.2063,13.4283,9.2829,5.5441,5.5441,3.4631826382935067,3.2329,2.2417,1.8119,1.1126,0.9722,0.5676,0.48808768860173635
5,2003-08-12,105-08,37.5533,130.3117,26.593,26.3447,17.6713,16.1805,16.1805,14.3122,12.4774,11.686960415441234,8.2251,3.9628,2.1092,1.5002,1.0762,0.7646,0.7986742981910696
6,2000-08-05,105-08,37.5533,130.3117,24.7158,21.5477,16.3278,13.2252,6.61,4.8737,4.0209,2.758355448520156,1.7294,1.3015,1.1677,0.8693,0.6196,0.5603,0.5184861254187196
7,2012-08-24,105-08,37.5533,130.3117,24.6503,22.4032,16.0904,13.725,13.725,13.725,13.725,11.671274265929792,8.9672,3.9094,2.1681,1.5076,1.0337,0.7672,0.7824595123673757
8,1994-08-18,105-08,37.5533,130.3117,24.1888,22.5688,19.3852,19.3852,15.8534,8.8346,8.8346,4.399874256675483,4.399874256675483,2.9015,1.7762,0.9541,0.7932,0.5067,0.580234829911961
9,2001-08-22,105-08,37.5533,130.3117,24.73,24.73,24.03,18.8201,16.9,15.1103,13.3592,11.65124169202382,8.8733,4.2737,1.9593,1.41,0.9746,0.7265,0.7976097820512474
10,1997-08-28,105-08,37.5533,130.3117,28.0961,27.6156,21.7831,16.637,16.637,15.0843,11.6705,11.511351348168617,7.0979,3.8178,2.0607,1.4594,1.0583,0.7438,0.7837802595968844
11,1997-08-28,105-08,37.5533,130.3117,24.0802,22.6238,17.1013,14.6099,12.2756,3.8361,3.8361,2.0651180620505447,1.7639,1.2977,1.2182,0.8237,0.7349,0.4517,0.42560581669100617
12,1993-08-18,105-08,37.5533,130.3117,24.4863,20.5669,16.0643,12.4282,9.2008,9.2008,4.1623,2.041106609751864,1.6744,1.2977,1.2977,0.8223,0.6647,0.4419,0.41384844261889997
13,2009-08-22,105-08,37.5533,130.3117,24.1888,20.8043,16.8422,15.9788,13.4712,4.2598,3.3707,2.0467817205290824,1.6582,1.427,0.99,0.8202,0.7178,0.4338,0.4166314701803461
