,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,1993-04-16,105-09,37.5533,130.625,12.2959,12.164,11.8928,11.8928,11.8928,11.8928,10.6454,10.6359,10.0342,4.5566,2.0435,1.501,1.4326,0.6695,0.5932559294165934
1,2009-04-09,105-09,37.5533,130.625,11.3787,11.1003,10.8386,10.8136,10.2662,9.6291,9.5854,9.5854,8.1728,4.055,2.5484,1.0796,0.809,0.5938,0.5777465186048771
2,2002-04-18,105-09,37.5533,130.625,12.0382,11.9708,11.9708,11.9618,11.7736,10.6612,10.6612,9.8916,7.6296,3.1978,1.6861,1.1452,0.8141,0.7322,0.5313948260968435
3,2011-04-11,105-09,37.5533,130.625,12.2091,12.2091,11.9181,11.5704,11.2603,9.845,9.3017,2.7728,2.7728,1.6546,1.1082,0.81,0.6963,0.5302,0.49775356777820423
4,2009-04-09,105-09,37.5533,130.625,11.6713,11.3348,11.3348,11.3346,11.0639,11.0639,11.022,10.8837,10.5233,10.27,5.8892,1.7222,1.1773,0.7574,0.5882833171147341
5,2002-04-18,105-09,37.5533,130.625,12.2758,12.2758,11.9998,11.854,11.572,10.1021,10.1021,4.654,4.654,2.5107,1.2201,1.022,0.7971,0.6461,0.5577174281732437
6,2001-04-15,105-09,37.5533,130.625,11.8187,11.4325,11.2279,10.9116,10.013,9.0995,9.0331,9.0331,8.5549,2.92,2.5965,1.2233,0.7669,0.7137,0.5625340923456408
7,2002-04-18,105-09,37.5533,130.625,13.1369,12.9291,12.6263,12.6263,12.2616,11.0611,10.804,10.6641,9.9645,4.8218,4.354,1.3195,0.9476,0.7437,0.5906465918618092
8,1994-04-19,105-09,37.5533,130.625,12.688,12.306,12.1983,11.5417,10.7339,9.0664,6.0184,3.3593,3.3593,1.9351,1.9351,2.5302,1.1719,0.8305,0.4833854445013088
9,2005-04-21,105-09,37.5533,130.625,11.4472,11.4458,11.4458,11.4458,11.4458,11.4458,11.3758,10.8858,10.6729,10.27,8.4566,3.4742,1.5912,0.7638,0.6646753422833053
10,2010-04-05,105-09,37.5533,130.625,11.6036,10.947,10.2806,10.1707,9.7424,8.6494,8.4883,6.376,6.376,2.8964,2.8964,1.304,0.8715,0.6612,0.5332009188274793
11,2006-04-25,105-09,37.5533,130.625,12.0988,11.8939,11.8783,11.0745,10.4102,7.8018,6.6352,4.6769,4.6769,1.9624,1.4863,1.1007,0.6681,0.5369,0.49907303715486395
