,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,1997-12-16,105-09,37.5533,130.625,17.32,17.32,17.17,17.1085,14.9529,14.9529,14.9529,9.943,7.2824,2.1657,2.0263,0.9833,0.7608,0.5899,0.6491720353513792
1,1997-12-16,105-09,37.5533,130.625,15.9798,15.8945,15.8945,15.7505,15.5664,13.5293,13.5293,5.0457,2.7975,1.3461,1.01,0.9457,0.7709,0.4758,0.5949053697063096
2,1993-12-18,105-09,37.5533,130.625,15.6353,15.379,15.379,15.379,14.8095,14.2645,12.7056,4.9817,2.8718,2.5805,2.5805,1.2038,0.8165,0.5521,0.6370780092511069
3,2004-12-11,105-09,37.5533,130.625,16.6532,16.1566,16.1566,16.1566,15.1793,13.759,6.4055,3.506,2.3185,2.1182,1.01,0.8035,0.584,0.4969,0.5068231972693616
4,2008-12-11,105-09,37.5533,130.625,15.1655,15.1655,14.964,14.8336,14.8336,14.8336,11.3127,11.3127,10.7613,5.3108,1.01,1.2919,0.7512,0.7582,0.762928425926454
5,1993-12-18,105-09,37.5533,130.625,9.75,9.75,9.75,9.75,9.75,9.75,5.1552,5.1552,5.1552,5.1552,2.144,2.5593,0.7797,0.7047,0.49700165453037104
6,1998-12-16,105-09,37.5533,130.625,14.4549,14.4549,14.431,14.431,14.431,14.431,14.431,13.521,11.4395,8.92,4.9352,3.79,1.0724,0.7894,0.8177924054812866
7,1994-12-22,105-09,37.5533,130.625,15.3248,15.2995,15.2995,15.2995,15.2995,13.793,13.793,8.6894,6.4069,1.8536,1.8536,1.4032,0.9445,0.564,0.7039455554900909
8,2001-12-19,105-09,37.5533,130.625,15.5876,15.5876,15.5864,15.498,15.498,15.3252,15.3252,8.6052,4.8222,2.0202,2.0202,1.2065,0.864,0.5517,0.7721090007002434
9,1997-12-16,105-09,37.5533,130.625,15.6559,15.3929,15.3929,15.3929,14.5679,13.5235,13.5235,6.2938,3.417,2.0388,2.0388,1.3925,0.8761,0.537,0.5837203486784661
10,2012-12-13,105-09,37.5533,130.625,15.6128,15.4251,15.4251,15.3061,15.3061,12.2143,7.8071,7.8071,6.5677,1.392,1.01,0.813,0.5896,0.5985,0.6029322176282399
11,1994-12-22,105-09,37.5533,130.625,15.2921,15.2912,15.2912,15.2912,15.2912,14.4982,14.4982,10.5403,7.8069,2.0977,2.0977,1.3557,0.9968,0.565,0.7061349092708897
12,1993-12-18,105-09,37.5533,130.625,15.4076,15.0536,15.0536,15.0536,12.9463,12.1472,5.7593,5.7593,3.9015,1.5557,1.5557,1.0691,0.6152,0.4725,0.5177962254381498
13,1997-12-16,105-09,37.5533,130.625,15.4948,15.3357,15.3357,15.3357,14.7845,14.7845,6.7944,6.7944,6.7944,6.7944,2.8479,1.9741,0.8158,0.6666,0.6577042141414566
14,2003-12-14,105-09,37.5533,130.625,16.3651,16.3651,16.3651,16.3651,15.9957,15.9957,15.9957,12.6093,11.2531,4.4701,4.4701,2.9033,1.0124,0.7034,0.8266158295990478
15,1993-12-18,105-09,37.5533,130.625,14.867,14.3121,14.3121,14.3121,14.3121,13.4118,9.5458,9.5458,7.4358,7.4358,3.168,1.4728,0.9746,0.6972,0.5484718489211835
16,2003-12-14,105-09,37.5533,130.625,16.0904,16.0904,16.0904,16.0904,14.6743,14.6743,14.6743,11.0328,8.8685,3.9817,3.9817,1.5318,0.9652,0.6979,0.8177644021685625
17,2001-12-19,105-09,37.5533,130.625,15.8053,15.7465,15.7465,15.7465,15.7465,15.7465,15.7465,11.1754,7.3424,2.7132,1.1037,1.055,0.9209,0.5853,0.6628106012471265
18,2002-12-21,105-09,37.5533,130.625,16.7543,16.7543,16.5487,16.3989,15.9199,15.3932,15.3932,9.9059,6.8744,1.8794,1.01,0.8831,0.7625,0.6204,0.6554430361446318
19,1994-12-22,105-09,37.5533,130.625,14.071,13.7588,13.7588,13.5912,11.3649,11.3649,11.3649,5.0196,2.9088,1.9726,1.01,0.8493,0.7617,0.4533,0.5118278928852222
20,2012-12-13,105-09,37.5533,130.625,15.4909,15.2114,15.2114,15.2114,15.2114,14.2893,14.2893,12.9586,11.2109,2.3447,1.8316,0.9635,0.7408,0.5212,0.6002194062847567
21,2001-12-19,105-09,37.5533,130.625,16.0986,15.8908,15.8908,15.8908,15.0956,15.0956,15.0956,13.097,10.2867,2.8995,1.01,1.1429,0.9962,0.6575,0.6004607384218017
22,2011-12-14,105-09,37.5533,130.625,13.8054,13.7411,13.5827,13.5827,13.4698,13.4698,13.4698,13.4698,13.3425,8.92,2.6215,3.525,1.0768,0.7894,0.721973588195395
23,1998-12-16,105-09,37.5533,130.625,15.8966,15.8966,15.8966,15.8966,13.8031,13.8031,13.8031,11.4607,9.472,2.8815,2.6791,1.0464,0.7328,0.5908,0.738155816534732
24,1993-12-18,105-09,37.5533,130.625,11.4914,11.4331,11.4028,11.4028,11.4028,9.3377,5.2267,5.2267,5.2267,1.7288,1.3283,1.3423,0.6582,0.5543,0.5163220007454001
25,2000-12-08,105-09,37.5533,130.625,17.32,17.32,17.17,17.1085,16.048,16.048,16.048,10.0814,6.3188,2.807,2.807,1.1531,0.8168,0.618,0.8032751860391433
26,2009-12-23,105-09,37.5533,130.625,14.4322,14.1915,14.0511,13.7094,11.882,11.5665,10.4096,5.8278,3.382,1.3868,1.01,0.8991,0.6566,0.5198,0.5311849906313653
27,2000-12-08,105-09,37.5533,130.625,15.03,15.03,15.0078,14.8792,14.4536,14.1333,11.3939,5.6229,3.2811,1.9625,1.2363,0.9377,0.6398,0.5534,0.7414688442567112
28,1999-12-28,105-09,37.5533,130.625,17.32,17.32,17.17,17.1085,16.7347,16.528,16.1182,12.8856,10.0477,8.92,3.9916,1.2696,0.926,0.7197,0.796038827009437
