,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,1999-06-05,105-09,37.5533,130.625,21.2312,18.4416,16.5835,14.969,14.9041,13.9525,12.13,11.2099,10.62,9.37,6.5,1.0877,1.24,0.7628,0.6443482621792879
1,1995-06-08,105-09,37.5533,130.625,16.795,16.3157,16.138,15.4594,10.8203,8.9612,6.5782,6.5782,5.8137,1.4835,1.3374,0.9143,0.7357,0.5156,0.6015534714008015
2,2000-06-10,105-09,37.5533,130.625,17.9312,16.9678,13.5338,13.5338,12.5164,9.394,4.4622,3.243,2.6265,1.8408,1.4077,1.0131,0.6831,0.4936,0.5263310688071002
3,1995-06-08,105-09,37.5533,130.625,17.7815,17.7815,17.3378,16.3831,13.8622,13.0513,11.8698,10.803,9.5822,6.3247,1.4173,1.0716,0.7778,0.5707,0.5960904158641726
4,2005-06-24,105-09,37.5533,130.625,19.8501,18.9056,16.8809,16.3354,12.7431,10.8155,10.8155,9.4963,7.4785,1.4569,1.4569,0.9277,0.8386,0.6742,0.5484153287749673
5,1994-06-24,105-09,37.5533,130.625,18.3003,16.2145,14.7009,14.7009,12.0197,8.2351,4.4417,4.4417,3.8186,2.1365,1.3579,0.9214,0.6697,0.4703,0.5929861112592504
6,1993-06-01,105-09,37.5533,130.625,17.1503,17.1503,16.9318,15.7458,13.3272,11.8226,11.8226,10.5151,9.281,4.8421,2.2686,1.4909,0.8753,0.6446,0.5321826242630717
7,1999-06-05,105-09,37.5533,130.625,18.2696,18.2696,16.1726,15.7097,12.9187,11.859,6.7914,6.7914,5.9381,2.3673,1.721,0.8836,0.7362,0.5336,0.6731059720376965
8,2012-06-27,105-09,37.5533,130.625,18.1772,18.1772,18.1772,15.9749,14.8319,13.5955,12.0911,8.8936,8.8936,8.8936,2.8928,2.711,1.24,0.79,0.6734889299256627
9,2005-06-24,105-09,37.5533,130.625,20.5046,19.4156,15.4528,15.3032,12.9979,11.2857,8.5494,8.5494,6.7381,1.8235,1.3784,0.883,0.7378,0.5936,0.5752944446279005
