,DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
0,1996-10-12,105-10,37.5533,130.9317,20.6389,20.6379,20.5791,19.5168,17.1174,11.786,11.786,6.458900140974006,6.2352,2.566,1.4527,0.7962,0.5999,0.4661,0.7655938888302378
1,2000-10-10,105-10,37.5533,130.9317,18.0835,18.0835,18.0835,18.0835,12.4313,7.8899,3.949,3.949,1.69,1.2878,0.9272,0.8011,0.6198,0.4923,0.5484101815606279
2,1998-10-22,105-10,37.5533,130.9317,18.8918,18.8918,18.8918,18.8918,17.7887,16.3559,10.4188,10.4188,6.7474,3.6431,1.5246,1.2248,0.6239,0.5184,0.8049309240052529
3,2000-10-10,105-10,37.5533,130.9317,21.5803,20.5768,20.5768,19.2539,12.1954,12.1954,6.3869,2.0645185034854365,2.0645185034854365,2.0645185034854365,1.2966,1.9001,0.8082,0.6081,0.6187321998438868
4,2008-10-12,105-10,37.5533,130.9317,21.094,20.9406,20.6369,18.4207,12.1228,9.7989,5.4629,5.4629,2.2668,1.2494,0.92,0.7847,0.6729,0.5464,0.5847958909356379
5,2001-10-20,105-10,37.5533,130.9317,18.872,18.872,18.872,18.872,18.872,15.5466,14.9701,12.807626235098995,9.71,3.8025,1.6878,0.8304,0.584,0.5552,0.8757
6,1994-10-16,105-10,37.5533,130.9317,18.0613,18.0613,17.7598,16.5119,13.7127,5.9682,5.9682,3.7304444527793494,3.7304444527793494,1.3832,1.3832,0.7763,0.8141,0.5621,0.5483471717113368
7,2001-10-20,105-10,37.5533,130.9317,19.1434,19.1434,19.1434,19.1434,14.2295,13.1236,8.4418,8.4418,5.6772,3.9102,1.4082,1.1276,0.6376,0.5243,0.6928001004847211
8,2010-10-16,105-10,37.5533,130.9317,20.2872,20.2872,20.2872,20.2872,12.5947,5.0588,3.18,1.980000038530976,1.69,1.4441,0.92,1.3215,0.7453,0.5581,0.5569019048307497
9,1993-10-21,105-10,37.5533,130.9317,20.7326,18.8856,18.8856,18.2427,16.7909,16.6037,14.2986,12.207632687475058,9.71,6.6189,3.78,1.93,1.47,0.82,0.7788668169696633
10,2012-10-08,105-10,37.5533,130.9317,21.2084,21.2084,21.2084,19.7154,15.3252,12.6063,9.464,9.25618180093528,4.3982,1.5074,1.1144,0.7696,0.5732,0.4928,0.7320310905505787
11,2011-10-08,105-10,37.5533,130.9317,18.9225,18.9225,18.9225,17.8461,10.63,5.3277,3.18,3.007067990628577,1.69,1.3689,0.92,0.7604,0.6623,0.5615,0.4922
12,2004-10-18,105-10,37.5533,130.9317,19.785,19.785,19.785,19.785,19.785,16.6433,15.19,12.502797946139095,9.71,6.1265,2.3939,1.421,0.7439,0.5834,0.8702665425553211
13,2010-10-16,105-10,37.5533,130.9317,20.233,20.233,20.233,19.3479,15.2653,7.823,7.823,7.823,6.977,4.6535,1.9189,1.1749,0.8646,0.751,0.751721161366254
