DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
,,37.0567,130.0,11.62,11.62,11.61,11.71,11.6,11.7,11.65,11.65,10.79,10.8,5.4,1.93,1.53,1.04,0.5571
1993-04-16,104-07,37.0567,130.0,13.39,12.79,12.44,12.12,11.0,7.85,4.7,3.21,2.11,1.53,1.27,1.24,0.99,0.8,0.5627
1993-06-02,104-07,37.0567,130.0,18.91,18.4,15.21,11.69,8.65,5.88,4.56,2.32,1.72,1.31,1.1,0.98,0.82,0.75,0.5553
1993-08-17,104-07,37.0567,130.0,20.28,18.82,17.39,13.95,7.71,5.25,3.65,2.9,2.27,1.46,1.46,1.17,0.8,0.62,0.4027
1993-10-27,104-07,37.0567,130.0,18.55,18.4,18.35,18.29,17.3,16.09,11.72,10.57,9.45,5.61,3.06,1.81,1.05,0.85,0.676
1993-12-16,104-07,37.0567,130.0,12.41,12.41,12.31,12.31,11.24,10.43,8.95,7.76,7.44,5.61,4.45,2.58,1.38,0.75,0.4738
1994-02-20,104-07,37.0567,130.0,9.22,8.35,7.58,6.44,6.3,6.08,4.71,3.89,3.2,2.33,1.89,1.72,1.24,0.74,0.4169
1994-04-20,104-07,37.0567,130.0,12.4,11.94,11.29,10.2,9.33,7.36,5.17,3.85,2.65,1.66,1.22,1.12,1.02,0.82,0.4691
1994-06-25,104-07,37.0567,130.0,19.22,18.22,17.78,17.59,14.72,14.05,9.44,3.41,2.1,1.19,0.92,0.74,0.48,0.35,0.5411
1994-08-19,104-07,37.0567,130.0,27.2,26.8,15.68,14.48,14.12,9.59,6.7,4.9,4.5,2.72,1.7,1.35,0.92,0.7,0.5164
1994-10-14,104-07,37.0567,130.0,20.32,20.03,18.4,17.37,11.52,8.32,7.81,7.51,5.75,2.35,1.52,1.2,0.72,0.4,0.5505
1994-12-21,104-07,37.0567,130.0,17.22,17.21,17.22,17.22,17.31,15.97,12.45,4.5,2.06,1.32,1.02,0.81,0.52,0.4,0.6805
1995-04-12,104-07,37.0567,130.0,13.65,13.67,13.66,13.66,13.54,13.06,12.64,10.66,4.95,1.82,1.28,0.96,0.6,0.41,0.5306000000000001
1995-06-09,104-07,37.0567,130.0,18.03,18.01,16.39,15.17,15.13,14.16,12.1,7.25,3.15,1.48,1.13,0.88,0.6,0.47,0.5446
1995-08-08,104-07,37.0567,130.0,20.17,19.7,17.07,15.88,15.07,12.43,11.01,9.79,7.35,3.38,1.8,1.41,0.92,0.49,0.5786
1995-10-23,104-07,37.0567,130.0,19.07,19.09,19.06,17.18,13.36,7.56,4.7,3.01,2.19,1.4,1.02,0.83,0.59,0.45,0.4882
1995-12-11,104-07,37.0567,130.0,12.09,12.04,12.03,12.04,10.86,8.5,4.6,2.98,2.03,1.25,1.0,0.85,0.55,0.45,0.5225000000000001
1996-02-14,104-07,37.0567,130.0,8.87,8.88,8.87,8.86,7.6,6.68,4.49,4.67,4.63,2.86,1.39,1.12,0.77,0.49,0.4374
1996-04-07,104-07,37.0567,130.0,9.88,9.56,9.33,9.32,9.16,9.0,8.92,8.39,7.17,4.06,2.16,1.44,0.76,0.52,0.47300000000000003
1996-06-09,104-07,37.0567,130.0,16.04,15.31,14.21,13.95,12.37,10.92,7.85,4.04,3.0,1.73,1.3,1.04,0.74,0.55,0.5193
1996-08-04,104-07,37.0567,130.0,24.54,18.5,13.24,11.08,7.63,5.39,2.95,1.84,1.58,1.31,1.13,0.96,0.69,0.53,0.45580000000000004
1996-10-11,104-07,37.0567,130.0,20.13,20.04,19.39,13.01,8.04,4.33,3.24,2.3,1.69,1.16,0.85,0.68,0.5,0.43,0.5698
1996-12-11,104-07,37.0567,130.0,13.82,13.79,13.77,13.62,6.82,3.76,2.75,1.97,1.65,1.11,0.88,0.71,0.52,0.41,0.4728
1997-02-14,104-07,37.0567,130.0,10.03,9.89,9.31,9.23,7.79,5.73,3.78,2.42,1.86,1.41,0.95,0.79,0.57,0.43,0.49160000000000004
1997-04-14,104-07,37.0567,130.0,13.77,13.7,13.6,13.53,13.24,12.2,12.03,11.57,7.67,1.59,1.12,0.94,0.64,0.46,0.5067
1997-06-10,104-07,37.0567,130.0,18.04,17.04,15.96,13.61,9.62,4.71,2.67,1.46,1.12,0.92,0.73,0.63,,,0.5505
1997-08-26,104-07,37.0567,130.0,24.11,23.84,17.72,13.91,7.86,4.03,2.58,1.95,1.7,1.24,0.95,0.77,0.55,0.44,0.5431
1997-10-15,104-07,37.0567,130.0,18.89,18.78,18.69,15.04,9.31,4.8,3.15,2.32,1.81,1.22,0.98,0.8,0.59,0.45,0.48500000000000004
1997-12-14,104-07,37.0567,130.0,13.66,13.7,13.65,13.31,13.16,9.26,5.02,3.51,2.22,1.33,1.07,0.9,0.65,0.57,0.5701
1998-02-23,104-07,37.0567,130.0,12.84,12.84,12.83,12.81,12.8,12.8,9.89,6.29,3.25,1.67,1.14,0.91,0.64,0.48,0.5317000000000001
1998-06-09,104-07,37.0567,130.0,19.13,19.11,18.45,17.88,15.95,15.36,11.93,7.13,4.41,1.95,1.29,1.01,0.72,0.63,0.6266
1998-08-21,104-07,37.0567,130.0,23.99,22.67,17.27,12.2,7.57,4.07,3.01,1.99,1.41,1.06,0.89,0.76,0.54,0.43,0.45380000000000004
1998-10-22,104-07,37.0567,130.0,19.22,19.12,13.72,11.92,6.32,3.52,2.42,1.62,1.42,1.12,0.92,0.72,0.52,0.42,0.6554
1998-12-13,104-07,37.0567,130.0,16.42,16.42,16.42,16.32,16.32,15.32,10.52,6.72,3.82,1.82,1.22,0.92,0.62,0.52,0.6106
1999-02-15,104-07,37.0567,130.0,11.18,11.18,11.19,11.19,11.19,11.19,11.19,11.19,10.93,6.58,2.59,1.45,0.97,0.69,0.5764
1999-04-18,104-07,37.0567,130.0,14.14,13.84,13.61,12.87,12.07,11.22,10.55,10.5,9.72,6.7,3.23,1.44,0.86,0.59,0.6404000000000001
1999-06-06,104-07,37.0567,130.0,18.63,18.09,16.8,15.55,14.25,11.74,10.3,8.26,5.94,2.36,1.24,0.98,0.73,0.55,0.5836
1999-08-29,104-07,37.0567,130.0,24.51,24.47,24.03,19.53,16.45,14.31,7.13,3.8,2.62,1.39,1.07,0.92,0.66,0.53,0.6455000000000001
